gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,bachelor's degree,standard,completed,66,74,81
female,group C,high school,standard,none,67,79,76
male,group D,some high school,standard,none,75,75,72
male,group A,high school,standard,none,63,66,57
female,group B,high school,free/reduced,completed,67,80,81
female,group D,some high school,standard,completed,80,92,88
male,group E,some college,standard,none,77,68,66
female,group D,associate's degree,standard,none,68,66,65
male,group D,high school,standard,none,36,46,45
female,group D,associate's degree,free/reduced,completed,74,88,90
female,group B,some high school,free/reduced,none,64,72,71
female,group E,high school,standard,completed,74,79,80
male,group B,high school,standard,none,63,58,54
female,group B,bachelor's degree,standard,completed,65,81,81
female,group D,associate's degree,standard,none,53,63,58
female,group E,high school,free/reduced,none,57,55,61
female,group B,high school,standard,none,45,47,49
female,group D,some college,standard,completed,69,79,81
male,group C,some high school,free/reduced,completed,51,56,53
female,group A,high school,standard,completed,68,80,76
female,group D,some college,standard,completed,85,86,98
female,group A,associate's degree,standard,completed,65,70,74
female,group B,some high school,standard,none,65,71,71
female,group B,some college,standard,none,55,60,60
male,group C,associate's degree,free/reduced,none,69,60,57
male,group D,some high school,standard,none,62,59,54
female,group D,associate's degree,free/reduced,none,38,54,52
male,group D,associate's degree,standard,none,81,78,76
male,group C,some college,free/reduced,none,66,69,65
male,group C,some high school,standard,none,65,59,56
female,group D,some college,free/reduced,none,49,63,62
female,group C,high school,standard,none,58,62,60
male,group D,associate's degree,standard,none,72,56,56
female,group C,some high school,free/reduced,completed,50,60,60
female,group C,some college,free/reduced,completed,63,73,71
female,group B,bachelor's degree,free/reduced,none,69,76,78
male,group C,some college,standard,none,65,66,54
male,group D,associate's degree,standard,completed,81,72,77
female,group C,high school,free/reduced,none,59,68,61
male,group D,associate's degree,free/reduced,none,46,51,45
female,group C,some college,standard,none,62,70,68
female,group C,associate's degree,standard,completed,65,84,84
female,group D,high school,standard,completed,69,77,78
female,group B,some college,standard,completed,50,64,66
female,group E,some college,standard,completed,73,78,76
female,group C,some high school,standard,completed,70,82,76
male,group D,associate's degree,free/reduced,none,72,67,70
male,group D,some college,free/reduced,none,56,54,54
female,group D,high school,standard,none,60,64,66
male,group B,high school,standard,none,54,61,54
male,group B,high school,standard,none,55,49,48
female,group C,some high school,free/reduced,completed,29,40,44
male,group B,some college,standard,completed,62,66,68
female,group E,master's degree,standard,completed,94,99,100
male,group E,some college,standard,completed,85,75,68
male,group D,associate's degree,free/reduced,none,69,70,65
male,group A,high school,free/reduced,none,47,52,39
male,group E,some college,free/reduced,none,83,81,74
female,group C,associate's degree,standard,none,44,47,47
female,group E,associate's degree,free/reduced,none,65,68,70
female,group C,bachelor's degree,free/reduced,completed,66,74,81
female,group D,associate's degree,standard,none,69,69,65
female,group C,some high school,standard,none,44,56,50
female,group D,some college,free/reduced,none,71,80,77
female,group C,associate's degree,standard,completed,75,82,90
female,group A,bachelor's degree,standard,none,53,64,63
female,group D,associate's degree,standard,completed,57,78,79
male,group C,high school,free/reduced,none,59,59,53
female,group E,bachelor's degree,standard,completed,79,81,82
female,group B,some high school,standard,none,51,60,64
male,group A,bachelor's degree,standard,completed,87,84,87
female,group D,some college,standard,none,56,57,60
female,group B,some high school,free/reduced,completed,59,63,64
male,group A,bachelor's degree,free/reduced,none,55,64,58
male,group D,high school,standard,none,41,30,32
male,group C,some college,standard,none,59,53,46
male,group D,high school,standard,none,80,78,71
female,group D,associate's degree,free/reduced,completed,42,61,58
male,group C,some college,standard,completed,93,84,90
female,group E,some high school,standard,completed,80,85,85
female,group D,some college,standard,none,88,90,89
male,group D,master's degree,standard,none,72,72,75
female,group B,some high school,standard,completed,60,70,74
female,group B,associate's degree,free/reduced,completed,76,94,87
male,group C,associate's degree,standard,completed,73,78,72
female,group C,associate's degree,standard,completed,96,96,99
female,group C,high school,standard,none,68,68,66
male,group E,associate's degree,free/reduced,completed,91,73,80
female,group C,some college,free/reduced,none,55,64,63
male,group D,some high school,free/reduced,completed,55,59,59
female,group B,some high school,free/reduced,completed,74,90,88
male,group C,high school,standard,none,45,43,37
male,group B,some college,standard,none,42,38,36
male,group E,some college,standard,completed,81,74,71
female,group E,associate's degree,standard,completed,65,75,77
male,group E,some high school,standard,completed,68,51,57
female,group D,high school,free/reduced,none,65,82,75
male,group C,some college,standard,none,47,35,33
female,group B,associate's degree,free/reduced,completed,68,77,80
male,group A,some high school,free/reduced,none,49,41,38
female,group C,some college,standard,completed,87,89,94
male,group D,some high school,standard,none,49,42,39
female,group E,some college,free/reduced,none,47,52,51
male,group C,master's degree,standard,none,60,51,53
male,group C,associate's degree,standard,none,82,71,75
female,group B,some college,free/reduced,completed,53,66,73
male,group D,associate's degree,standard,none,72,63,65
male,group C,high school,free/reduced,none,54,54,49
male,group D,bachelor's degree,standard,none,72,65,64
female,group A,associate's degree,free/reduced,none,33,51,50
female,group C,high school,standard,none,72,75,73
female,group C,associate's degree,standard,completed,59,73,72
male,group B,some college,free/reduced,none,49,49,42
male,group D,associate's degree,standard,none,64,71,66
male,group D,high school,standard,none,62,67,63
male,group C,some college,standard,none,62,57,61
female,group C,bachelor's degree,free/reduced,none,45,54,53
male,group B,some college,standard,completed,87,84,86
male,group D,some high school,standard,completed,71,69,68
male,group E,some college,standard,none,61,64,58
male,group C,master's degree,free/reduced,completed,79,77,75
female,group C,some high school,standard,completed,77,90,85
male,group C,associate's degree,free/reduced,none,52,49,47
female,group E,associate's degree,standard,none,75,85,82
male,group D,some college,standard,none,49,52,46
male,group E,bachelor's degree,free/reduced,completed,70,68,72
female,group D,some college,free/reduced,completed,52,59,65
male,group B,some college,standard,completed,69,77,77
female,group C,high school,free/reduced,none,47,64,57
female,group D,some high school,standard,none,43,52,48
male,group D,some high school,standard,completed,78,81,86
female,group B,high school,standard,none,55,55,56
male,group D,some college,standard,none,54,56,53
female,group B,high school,standard,none,66,64,64
female,group C,high school,standard,completed,58,75,77
male,group B,high school,standard,completed,76,62,60
female,group D,some high school,standard,none,61,63,67
male,group A,some college,free/reduced,none,52,54,51
male,group B,high school,standard,none,46,43,44
male,group D,bachelor's degree,standard,none,67,65,66
female,group B,some high school,free/reduced,completed,52,67,72
female,group C,bachelor's degree,free/reduced,none,55,70,71
male,group B,some college,standard,none,59,58,54
female,group B,some high school,free/reduced,none,44,52,49
female,group B,high school,standard,none,59,64,63
female,group C,some college,free/reduced,none,31,39,38
female,group A,some college,standard,completed,72,79,82
male,group E,associate's degree,standard,completed,94,85,82
female,group D,associate's degree,free/reduced,none,41,50,51
female,group B,master's degree,standard,none,69,81,75
female,group B,high school,free/reduced,completed,76,85,82
female,group C,associate's degree,standard,completed,52,59,62
male,group C,bachelor's degree,standard,completed,91,81,79
female,group B,some high school,standard,completed,32,51,44
female,group E,some high school,free/reduced,none,64,71,69
female,group B,some college,standard,none,17,34,28
male,group C,associate's degree,free/reduced,none,61,58,54
female,group C,master's degree,free/reduced,none,46,58,54
female,group B,high school,standard,none,43,55,54
female,group D,some college,free/reduced,none,54,59,63
male,group D,high school,free/reduced,none,59,66,62
male,group E,some high school,standard,completed,89,84,77
female,group B,high school,standard,none,37,46,45
female,group E,associate's degree,free/reduced,completed,57,68,73
male,group D,high school,standard,none,63,63,63
female,group E,associate's degree,free/reduced,none,63,75,72
male,group E,some college,standard,none,62,54,48
female,group C,associate's degree,standard,none,46,49,51
male,group C,some high school,standard,completed,67,73,68
male,group C,some high school,standard,completed,76,80,73
female,group E,associate's degree,standard,none,78,84,85
female,group B,some college,standard,none,73,76,78
female,group C,some college,standard,none,65,68,70
male,group A,some college,free/reduced,none,67,72,66
female,group D,some college,free/reduced,none,57,66,67
female,group E,high school,free/reduced,none,36,40,36
male,group C,high school,standard,none,81,67,62
male,group B,bachelor's degree,standard,none,53,48,45
male,group A,some high school,standard,none,45,27,32
male,group A,high school,free/reduced,none,40,42,44
female,group C,master's degree,standard,completed,54,64,67
male,group E,some high school,standard,completed,87,84,76
female,group C,high school,standard,none,64,72,74
male,group B,some high school,standard,completed,94,86,87
female,group A,bachelor's degree,standard,none,40,53,57
male,group D,bachelor's degree,free/reduced,completed,61,70,76
female,group B,high school,free/reduced,none,54,64,61
female,group C,some high school,standard,none,69,81,79
female,group A,some high school,standard,completed,85,90,92
female,group D,bachelor's degree,free/reduced,none,70,81,83
male,group E,some college,free/reduced,completed,49,52,51
female,group B,high school,free/reduced,none,63,78,73
female,group C,some high school,free/reduced,none,43,52,46
male,group C,high school,standard,none,55,60,52
female,group C,associate's degree,free/reduced,completed,56,68,70
female,group C,some high school,standard,none,58,62,68
female,group D,some high school,free/reduced,completed,69,86,81
male,group B,some high school,standard,none,61,48,47
female,group A,some college,free/reduced,none,54,54,51
female,group C,bachelor's degree,free/reduced,completed,74,86,89
male,group A,bachelor's degree,standard,none,57,54,52
female,group B,high school,standard,completed,77,82,89
male,group B,some college,standard,none,52,45,40
female,group C,high school,standard,completed,60,64,74
male,group E,high school,standard,none,65,57,51
female,group A,high school,standard,completed,75,82,79
male,group B,associate's degree,free/reduced,completed,58,57,53
female,group C,associate's degree,standard,none,59,69,65
female,group D,high school,free/reduced,none,35,46,41
male,group C,some high school,standard,none,57,52,45
female,group B,high school,free/reduced,completed,23,44,36
male,group B,some college,free/reduced,completed,74,77,76
female,group D,some high school,free/reduced,completed,40,65,64
male,group E,master's degree,standard,none,81,76,75
male,group C,master's degree,standard,completed,91,85,85
male,group D,high school,standard,none,57,48,45
female,group C,high school,standard,none,53,64,61
male,group D,associate's degree,standard,none,72,67,62
male,group C,master's degree,standard,none,63,60,60
female,group A,high school,standard,none,54,61,56
female,group E,some college,standard,none,78,76,83
male,group E,some high school,standard,none,73,60,54
male,group C,some high school,standard,none,55,57,49
female,group B,bachelor's degree,standard,none,87,87,86
male,group B,some college,free/reduced,none,67,61,58
female,group C,bachelor's degree,standard,none,58,71,72
male,group B,high school,standard,completed,52,49,46
male,group C,associate's degree,free/reduced,none,78,65,64
female,group C,associate's degree,standard,none,47,55,47
female,group E,master's degree,free/reduced,none,72,77,78
male,group D,bachelor's degree,free/reduced,completed,39,42,38
female,group C,some college,standard,completed,71,71,80
male,group C,associate's degree,standard,none,87,83,81
male,group D,some college,standard,completed,82,82,88
male,group C,high school,free/reduced,none,53,47,46
male,group B,associate's degree,standard,none,54,37,36
male,group E,associate's degree,free/reduced,completed,78,74,72
male,group C,associate's degree,free/reduced,none,44,45,45
male,group B,high school,standard,none,53,52,42
female,group C,some college,standard,completed,70,72,76
male,group B,associate's degree,standard,completed,82,84,78
male,group E,associate's degree,free/reduced,none,81,81,73
female,group C,bachelor's degree,free/reduced,none,38,55,54
male,group C,some college,free/reduced,none,72,57,59
male,group D,some college,standard,none,72,73,75
male,group C,some high school,standard,none,51,54,48
female,group D,some high school,standard,none,53,64,72
female,group D,associate's degree,standard,none,57,68,66
male,group C,bachelor's degree,standard,completed,63,64,66
female,group E,bachelor's degree,standard,completed,71,70,70
female,group B,high school,free/reduced,none,57,65,63
male,group D,bachelor's degree,free/reduced,none,49,41,39
female,group E,associate's degree,standard,none,45,45,48
female,group C,associate's degree,standard,completed,62,76,80
female,group E,associate's degree,standard,completed,93,100,95
male,group C,high school,free/reduced,none,48,64,53
female,group D,some college,free/reduced,none,62,58,66
male,group D,high school,free/reduced,none,39,45,43
female,group E,some college,standard,completed,86,85,91
female,group E,associate's degree,standard,none,76,82,76
female,group A,master's degree,free/reduced,none,45,60,65
male,group D,some high school,standard,completed,88,74,75
female,group E,associate's degree,standard,none,53,55,62
female,group E,some high school,free/reduced,none,28,30,34
male,group B,high school,free/reduced,none,32,26,24
female,group B,some high school,free/reduced,completed,63,78,79
male,group D,associate's degree,standard,completed,67,54,63
female,group D,some high school,standard,completed,65,78,82
male,group D,master's degree,standard,none,76,75,80
female,group C,master's degree,standard,none,65,70,66
female,group A,high school,free/reduced,completed,34,48,41
female,group D,bachelor's degree,free/reduced,completed,93,100,100
female,group D,some high school,free/reduced,none,60,75,75
male,group D,some college,standard,none,79,69,69
male,group B,high school,standard,none,51,43,45
female,group D,some college,standard,completed,79,84,91
female,group C,bachelor's degree,free/reduced,none,60,67,64
male,group E,bachelor's degree,standard,completed,70,64,70
male,group D,bachelor's degree,free/reduced,none,45,37,43
female,group A,some college,standard,none,62,75,73
female,group C,bachelor's degree,standard,completed,52,61,66
female,group C,bachelor's degree,free/reduced,completed,47,62,66
female,group B,associate's degree,free/reduced,none,41,54,49
female,group E,some college,standard,none,61,63,59
male,group E,bachelor's degree,standard,completed,100,100,100
female,group C,high school,standard,none,39,54,46
female,group C,associate's degree,standard,completed,57,77,80
male,group B,some college,standard,completed,91,96,91
male,group D,high school,free/reduced,none,62,63,60
female,group C,high school,free/reduced,none,31,47,41
male,group D,high school,standard,none,64,59,59
female,group B,associate's degree,free/reduced,none,48,58,58
male,group D,high school,free/reduced,none,66,63,62
male,group E,some high school,standard,completed,74,64,60
male,group E,associate's degree,free/reduced,none,57,50,46
female,group D,high school,free/reduced,completed,65,61,71
male,group E,associate's degree,free/reduced,completed,46,43,44
female,group C,some high school,free/reduced,none,43,50,45
male,group C,some college,free/reduced,completed,67,74,70
male,group D,some college,free/reduced,none,55,51,55
male,group D,associate's degree,free/reduced,completed,61,71,73
male,group C,bachelor's degree,free/reduced,completed,70,75,74
male,group C,associate's degree,standard,completed,98,87,90
male,group D,some college,free/reduced,none,63,56,52
male,group A,associate's degree,standard,none,60,51,47
female,group E,high school,free/reduced,none,51,52,51
male,group D,some college,standard,completed,85,81,85
male,group D,some high school,standard,completed,77,68,69
male,group C,master's degree,free/reduced,completed,72,66,72
female,group D,master's degree,standard,none,70,81,86
male,group C,high school,standard,none,72,59,57
male,group A,some high school,free/reduced,completed,61,62,61
female,group B,high school,standard,none,52,61,54
female,group C,associate's degree,standard,none,48,54,52
male,group B,high school,standard,none,73,73,72
female,group D,some college,free/reduced,none,44,52,54
male,group B,some high school,free/reduced,completed,49,50,52
female,group E,high school,free/reduced,completed,57,75,73
male,group E,high school,standard,none,84,65,63
female,group D,some college,standard,completed,75,77,83
female,group E,some high school,free/reduced,none,66,66,64
male,group C,high school,standard,completed,58,52,54
female,group C,some college,standard,none,55,62,62
male,group E,associate's degree,standard,none,64,51,55
male,group C,some college,standard,none,75,78,72
female,group D,master's degree,standard,none,82,90,90
female,group D,high school,standard,none,40,56,53
male,group C,high school,standard,none,67,72,63
female,group A,some college,standard,none,50,52,57
female,group D,some high school,free/reduced,none,43,48,47
female,group E,associate's degree,standard,none,90,90,90
female,group C,some high school,free/reduced,completed,65,76,75
male,group D,some college,standard,none,64,51,52
female,group D,some college,standard,none,55,63,64
male,group A,some high school,standard,completed,66,68,64
male,group C,some college,standard,none,56,56,54
female,group E,associate's degree,standard,none,61,68,60
female,group B,bachelor's degree,standard,none,67,75,72
female,group D,bachelor's degree,standard,none,80,90,90
male,group C,some high school,standard,completed,78,72,69
female,group A,high school,free/reduced,completed,53,50,60
female,group D,some college,free/reduced,none,44,58,54
female,group A,some college,standard,none,48,56,60
female,group C,some college,standard,completed,64,82,77
male,group B,some college,free/reduced,completed,60,62,60
male,group C,associate's degree,standard,none,55,58,52
male,group D,high school,standard,completed,55,41,48
female,group C,associate's degree,standard,none,81,85,84
female,group B,high school,free/reduced,none,7,21,20
male,group D,some high school,standard,none,72,70,70
male,group B,some high school,standard,completed,79,85,86
female,group A,some college,standard,completed,78,87,91
female,group C,some high school,standard,none,66,67,73
male,group A,high school,standard,none,51,45,48
female,group C,associate's degree,standard,none,36,53,45
male,group E,some high school,standard,completed,81,75,76
female,group A,some high school,free/reduced,none,39,40,40
female,group D,some college,free/reduced,completed,67,86,83
male,group E,high school,free/reduced,completed,86,81,75
female,group B,some high school,standard,completed,65,82,78
female,group D,associate's degree,free/reduced,none,49,68,68
female,group D,bachelor's degree,free/reduced,none,55,64,66
male,group A,high school,standard,none,56,56,55
female,group E,master's degree,standard,completed,88,99,95
male,group C,high school,free/reduced,none,55,49,49
female,group C,high school,free/reduced,completed,59,71,65
female,group D,some college,standard,completed,68,78,77
female,group D,some college,free/reduced,none,69,77,77
