Id,gender,race/ethnicity,parental level of education,lunch
1961793,male,group D,high school,free/reduced
1961794,male,group E,some high school,standard
1961795,female,group B,high school,standard
1961796,female,group E,associate's degree,free/reduced
1961797,male,group D,high school,standard
1961798,female,group E,associate's degree,free/reduced
1961799,male,group E,some college,standard
1961800,female,group C,associate's degree,standard
1961801,male,group C,some high school,standard
1961802,male,group C,some high school,standard
1961803,female,group E,associate's degree,standard
1961804,female,group B,some college,standard
1961805,female,group C,some college,standard
1961806,male,group A,some college,free/reduced
1961807,female,group D,some college,free/reduced
1961808,female,group E,high school,free/reduced
1961809,male,group C,high school,standard
1961810,male,group B,bachelor's degree,standard
1961811,male,group A,some high school,standard
1961812,male,group A,high school,free/reduced
1961813,female,group C,master's degree,standard
1961814,male,group E,some high school,standard
1961815,female,group C,high school,standard
1961816,male,group B,some high school,standard
1961817,female,group A,bachelor's degree,standard
1961818,male,group D,bachelor's degree,free/reduced
1961819,female,group B,high school,free/reduced
1961820,female,group C,some high school,standard
1961821,female,group A,some high school,standard
1961822,female,group D,bachelor's degree,free/reduced
1961823,male,group E,some college,free/reduced
1961824,female,group B,high school,free/reduced
1961825,female,group C,some high school,free/reduced
1961826,male,group C,high school,standard
1961827,female,group C,associate's degree,free/reduced
1961828,female,group C,some high school,standard
1961829,female,group D,some high school,free/reduced
1961830,male,group B,some high school,standard
1961831,female,group A,some college,free/reduced
1961832,female,group C,bachelor's degree,free/reduced
1961833,male,group A,bachelor's degree,standard
1961834,female,group B,high school,standard
1961835,male,group B,some college,standard
1961836,female,group C,high school,standard
1961837,male,group E,high school,standard
1961838,female,group A,high school,standard
1961839,male,group B,associate's degree,free/reduced
1961840,female,group C,associate's degree,standard
1961841,female,group D,high school,free/reduced
1961842,male,group C,some high school,standard
1961843,female,group B,high school,free/reduced
1961844,male,group B,some college,free/reduced
1961845,female,group D,some high school,free/reduced
1961846,male,group E,master's degree,standard
1961847,male,group C,master's degree,standard
1961848,male,group D,high school,standard
1961849,female,group C,high school,standard
1961850,male,group D,associate's degree,standard
1961851,male,group C,master's degree,standard
1961852,female,group A,high school,standard
1961853,female,group E,some college,standard
1961854,male,group E,some high school,standard
1961855,male,group C,some high school,standard
1961856,female,group B,bachelor's degree,standard
1961857,male,group B,some college,free/reduced
1961858,female,group C,bachelor's degree,standard
1961859,male,group B,high school,standard
1961860,male,group C,associate's degree,free/reduced
1961861,female,group C,associate's degree,standard
1961862,female,group E,master's degree,free/reduced
1961863,male,group D,bachelor's degree,free/reduced
1961864,female,group C,some college,standard
1961865,male,group C,associate's degree,standard
1961866,male,group D,some college,standard
1961867,male,group C,high school,free/reduced
1961868,male,group B,associate's degree,standard
1961869,male,group E,associate's degree,free/reduced
1961870,male,group C,associate's degree,free/reduced
1961871,male,group B,high school,standard
1961872,female,group C,some college,standard
1961873,male,group B,associate's degree,standard
1961874,male,group E,associate's degree,free/reduced
1961875,female,group C,bachelor's degree,free/reduced
1961876,male,group C,some college,free/reduced
1961877,male,group D,some college,standard
1961878,male,group C,some high school,standard
1961879,female,group D,some high school,standard
1961880,female,group D,associate's degree,standard
1961881,male,group C,bachelor's degree,standard
1961882,female,group E,bachelor's degree,standard
1961883,female,group B,high school,free/reduced
1961884,male,group D,bachelor's degree,free/reduced
1961885,female,group E,associate's degree,standard
1961886,female,group C,associate's degree,standard
1961887,female,group E,associate's degree,standard
1961888,male,group C,high school,free/reduced
1961889,female,group D,some college,free/reduced
1961890,male,group D,high school,free/reduced
1961891,female,group E,some college,standard
1961892,female,group E,associate's degree,standard
1961893,female,group A,master's degree,free/reduced
1961894,male,group D,some high school,standard
1961895,female,group E,associate's degree,standard
1961896,female,group E,some high school,free/reduced
1961897,male,group B,high school,free/reduced
1961898,female,group B,some high school,free/reduced
1961899,male,group D,associate's degree,standard
1961900,female,group D,some high school,standard
1961901,male,group D,master's degree,standard
1961902,female,group C,master's degree,standard
1961903,female,group A,high school,free/reduced
1961904,female,group D,bachelor's degree,free/reduced
1961905,female,group D,some high school,free/reduced
1961906,male,group D,some college,standard
1961907,male,group B,high school,standard
1961908,female,group D,some college,standard
1961909,female,group C,bachelor's degree,free/reduced
1961910,male,group E,bachelor's degree,standard
1961911,male,group D,bachelor's degree,free/reduced
1961912,female,group A,some college,standard
1961913,female,group C,bachelor's degree,standard
1961914,female,group C,bachelor's degree,free/reduced
1961915,female,group B,associate's degree,free/reduced
1961916,female,group E,some college,standard
1961917,male,group E,bachelor's degree,standard
1961918,female,group C,high school,standard
1961919,female,group C,associate's degree,standard
1961920,male,group B,some college,standard
1961921,male,group D,high school,free/reduced
1961922,female,group C,high school,free/reduced
1961923,male,group D,high school,standard
1961924,female,group B,associate's degree,free/reduced
1961925,male,group D,high school,free/reduced
1961926,male,group E,some high school,standard
1961927,male,group E,associate's degree,free/reduced
1961928,female,group D,high school,free/reduced
1961929,male,group E,associate's degree,free/reduced
1961930,female,group C,some high school,free/reduced
1961931,male,group C,some college,free/reduced
1961932,male,group D,some college,free/reduced
1961933,male,group D,associate's degree,free/reduced
1961934,male,group C,bachelor's degree,free/reduced
1961935,male,group C,associate's degree,standard
1961936,male,group D,some college,free/reduced
1961937,male,group A,associate's degree,standard
1961938,female,group E,high school,free/reduced
1961939,male,group D,some college,standard
1961940,male,group D,some high school,standard
1961941,male,group C,master's degree,free/reduced
1961942,female,group D,master's degree,standard
1961943,male,group C,high school,standard
1961944,male,group A,some high school,free/reduced
1961945,female,group B,high school,standard
1961946,female,group C,associate's degree,standard
1961947,male,group B,high school,standard
1961948,female,group D,some college,free/reduced
1961949,male,group B,some high school,free/reduced
1961950,female,group E,high school,free/reduced
1961951,male,group E,high school,standard
1961952,female,group D,some college,standard
1961953,female,group E,some high school,free/reduced
1961954,male,group C,high school,standard
1961955,female,group C,some college,standard
1961956,male,group E,associate's degree,standard
1961957,male,group C,some college,standard
1961958,female,group D,master's degree,standard
1961959,female,group D,high school,standard
1961960,male,group C,high school,standard
1961961,female,group A,some college,standard
1961962,female,group D,some high school,free/reduced
1961963,female,group E,associate's degree,standard
1961964,female,group C,some high school,free/reduced
1961965,male,group D,some college,standard
1961966,female,group D,some college,standard
1961967,male,group A,some high school,standard
1961968,male,group C,some college,standard
1961969,female,group E,associate's degree,standard
1961970,female,group B,bachelor's degree,standard
1961971,female,group D,bachelor's degree,standard
1961972,male,group C,some high school,standard
1961973,female,group A,high school,free/reduced
1961974,female,group D,some college,free/reduced
1961975,female,group A,some college,standard
1961976,female,group C,some college,standard
1961977,male,group B,some college,free/reduced
1961978,male,group C,associate's degree,standard
1961979,male,group D,high school,standard
1961980,female,group C,associate's degree,standard
1961981,female,group B,high school,free/reduced
1961982,male,group D,some high school,standard
1961983,male,group B,some high school,standard
1961984,female,group A,some college,standard
1961985,female,group C,some high school,standard
1961986,male,group A,high school,standard
1961987,female,group C,associate's degree,standard
1961988,male,group E,some high school,standard
1961989,female,group A,some high school,free/reduced
1961990,female,group D,some college,free/reduced
1961991,male,group E,high school,free/reduced
1961992,female,group B,some high school,standard
1961993,female,group D,associate's degree,free/reduced
1961994,female,group D,bachelor's degree,free/reduced
1961995,male,group A,high school,standard
1961996,female,group E,master's degree,standard
1961997,male,group C,high school,free/reduced
1961998,female,group C,high school,free/reduced
1961999,female,group D,some college,standard
1962000,female,group D,some college,free/reduced
