Id,t1_m,t1_p,t1_c,t2_m,t2_p,t2_c,t3_m,t3_p,t3_c,t4_m,t4_p,t4_c,t5_m(calc),t5_p(calc),t5_c(calc)
22564,93.0,90.0,93.0,95.0,94.0,95.0,92.0,95.0,94.0,91.0,90.0,94.0,91.0,90.0,94.0
22565,85.0,89.0,90.0,89.0,85.0,87.0,88.0,86.0,90.0,89.0,87.0,85.0,85.0,87.0,88.0
22566,80.0,81.0,81.0,83.0,80.0,83.0,84.0,81.0,84.0,84.0,83.0,82.0,53.0,78.0,83.0
22567,78.0,80.0,78.0,79.0,79.0,79.0,77.0,76.0,77.0,80.0,78.0,75.0,77.0,80.0,80.0
22568,75.0,70.0,70.0,74.0,73.0,74.0,73.0,72.0,72.0,73.0,73.0,73.0,70.0,73.0,72.0
22569,69.0,70.0,66.0,69.0,66.0,70.0,70.0,65.0,66.0,67.0,67.0,70.0,69.0,68.0,69.0
22570,60.0,63.0,62.0,63.0,64.0,64.0,61.0,65.0,64.0,63.0,60.0,61.0,60.0,61.0,64.0
22571,57.0,60.0,57.0,59.0,55.0,58.0,55.0,57.0,55.0,60.0,60.0,59.0,57.0,58.0,59.0
22572,52.0,51.0,55.0,55.0,50.0,51.0,52.0,52.0,52.0,51.0,54.0,50.0,55.0,51.0,55.0
22573,46.0,45.0,49.0,50.0,48.0,47.0,47.0,46.0,45.0,46.0,48.0,50.0,47.0,49.0,48.0
22574,41.0,45.0,41.0,42.0,40.0,44.0,40.0,43.0,43.0,44.0,42.0,41.0,45.0,45.0,41.0
22575,40.0,38.0,40.0,40.0,39.0,35.0,37.0,37.0,40.0,40.0,36.0,,36.0,36.0,40.0
22576,32.0,35.0,34.0,35.0,34.0,30.0,33.0,35.0,31.0,35.0,34.0,33.0,31.0,32.0,30.0
22577,26.0,25.0,30.0,29.0,26.0,30.0,25.0,27.0,28.0,30.0,29.0,28.0,27.0,28.0,25.0
22578,12.0,21.0,10.0,11.0,20.0,21.0,22.0,23.0,10.0,17.0,12.0,19.0,25.0,19.0,15.0
22579,5.0,1.0,10.0,10.0,10.0,7.0,8.0,10.0,3.0,0.0,8.0,2.0,1.0,3.0,5.0
22580,113.0,118.0,118.0,119.0,114.0,114.0,116.0,119.0,118.0,113.0,115.0,112.0,114.0,119.0,112.0
22581,107.0,108.0,108.0,109.0,105.0,107.0,110.0,107.0,109.0,109.0,110.0,105.0,106.0,108.0,106.0
22582,105.0,100.0,105.0,105.0,105.0,105.0,103.0,103.0,102.0,103.0,102.0,105.0,103.0,105.0,100.0
22583,100.0,96.0,99.0,100.0,100.0,100.0,100.0,98.0,95.0,97.0,95.0,97.0,96.0,97.0,98.0
22584,92.0,94.0,90.0,92.0,94.0,95.0,91.0,94.0,92.0,95.0,95.0,91.0,93.0,91.0,93.0
22585,88.0,86.0,88.0,86.0,85.0,89.0,88.0,90.0,88.0,87.0,89.0,89.0,87.0,87.0,86.0
22586,82.0,83.0,84.0,83.0,84.0,81.0,81.0,84.0,84.0,84.0,83.0,81.0,52.0,59.0,80.0
22587,80.0,75.0,77.0,78.0,78.0,77.0,78.0,75.0,78.0,75.0,75.0,76.0,79.0,79.0,76.0
22588,71.0,72.0,72.0,70.0,74.0,72.0,73.0,71.0,75.0,70.0,71.0,74.0,72.0,75.0,70.0
22589,68.0,70.0,65.0,68.0,70.0,70.0,65.0,69.0,65.0,70.0,65.0,66.0,66.0,65.0,70.0
22590,65.0,61.0,65.0,65.0,60.0,61.0,64.0,63.0,63.0,62.0,63.0,65.0,61.0,61.0,65.0
22591,59.0,59.0,55.0,56.0,59.0,60.0,56.0,60.0,58.0,59.0,56.0,58.0,,55.0,58.0
22592,55.0,50.0,52.0,54.0,52.0,55.0,55.0,52.0,54.0,53.0,51.0,54.0,50.0,54.0,50.0
22593,45.0,45.0,45.0,46.0,48.0,50.0,47.0,50.0,45.0,49.0,47.0,48.0,46.0,50.0,47.0
22594,41.0,43.0,40.0,45.0,42.0,44.0,43.0,45.0,45.0,43.0,45.0,45.0,41.0,40.0,
22595,40.0,38.0,38.0,37.0,38.0,39.0,38.0,37.0,37.0,39.0,37.0,35.0,39.0,39.0,39.0
22596,31.0,34.0,31.0,30.0,31.0,35.0,35.0,35.0,33.0,33.0,31.0,33.0,31.0,30.0,35.0
22597,29.0,25.0,27.0,30.0,26.0,30.0,27.0,28.0,30.0,25.0,26.0,26.0,30.0,26.0,27.0
22598,16.0,13.0,23.0,16.0,12.0,12.0,10.0,23.0,13.0,21.0,24.0,17.0,23.0,14.0,16.0
22599,5.0,9.0,2.0,7.0,1.0,5.0,8.0,4.0,4.0,9.0,5.0,0.0,5.0,1.0,7.0
22600,110.0,117.0,114.0,116.0,115.0,115.0,117.0,112.0,116.0,116.0,113.0,113.0,114.0,113.0,110.0
22601,108.0,108.0,106.0,110.0,108.0,106.0,107.0,107.0,109.0,106.0,108.0,106.0,105.0,108.0,105.0
22602,104.0,104.0,102.0,103.0,104.0,100.0,103.0,104.0,104.0,103.0,104.0,100.0,103.0,100.0,
22603,95.0,100.0,95.0,95.0,95.0,99.0,98.0,100.0,100.0,95.0,99.0,96.0,97.0,96.0,95.0
22604,90.0,92.0,91.0,91.0,95.0,92.0,95.0,92.0,93.0,94.0,90.0,91.0,94.0,93.0,93.0
22605,88.0,87.0,88.0,90.0,90.0,85.0,87.0,85.0,90.0,90.0,85.0,89.0,90.0,90.0,88.0
22606,80.0,82.0,85.0,80.0,82.0,83.0,80.0,85.0,83.0,83.0,80.0,83.0,64.0,69.0,70.0
22607,77.0,76.0,78.0,76.0,80.0,77.0,79.0,79.0,80.0,78.0,80.0,80.0,75.0,77.0,78.0
22608,74.0,73.0,75.0,74.0,75.0,71.0,70.0,74.0,71.0,,73.0,70.0,71.0,70.0,75.0
22609,69.0,67.0,68.0,65.0,68.0,69.0,67.0,65.0,65.0,65.0,67.0,70.0,67.0,67.0,65.0
22610,65.0,64.0,62.0,60.0,61.0,65.0,62.0,64.0,62.0,60.0,63.0,61.0,65.0,65.0,65.0
22611,59.0,58.0,59.0,60.0,57.0,56.0,,57.0,59.0,55.0,55.0,60.0,56.0,56.0,60.0
22612,51.0,55.0,51.0,54.0,52.0,52.0,52.0,51.0,50.0,53.0,51.0,53.0,51.0,54.0,52.0
22613,50.0,47.0,50.0,45.0,46.0,47.0,48.0,46.0,45.0,45.0,50.0,47.0,50.0,46.0,45.0
22614,43.0,44.0,44.0,45.0,43.0,44.0,41.0,42.0,43.0,41.0,43.0,42.0,44.0,41.0,41.0
22615,35.0,35.0,37.0,40.0,40.0,39.0,40.0,40.0,40.0,36.0,36.0,40.0,39.0,35.0,40.0
22616,34.0,34.0,33.0,31.0,34.0,35.0,33.0,34.0,30.0,34.0,30.0,33.0,33.0,34.0,34.0
22617,27.0,25.0,27.0,28.0,26.0,28.0,25.0,26.0,26.0,26.0,26.0,30.0,29.0,28.0,28.0
22618,,16.0,11.0,16.0,15.0,15.0,15.0,15.0,20.0,15.0,12.0,25.0,25.0,21.0,15.0
22619,9.0,3.0,2.0,0.0,2.0,5.0,2.0,6.0,8.0,10.0,1.0,3.0,8.0,7.0,4.0
22620,114.0,113.0,110.0,115.0,117.0,117.0,119.0,118.0,110.0,113.0,110.0,119.0,116.0,112.0,117.0
22621,106.0,108.0,109.0,108.0,110.0,105.0,106.0,105.0,109.0,110.0,106.0,110.0,107.0,110.0,106.0
22622,,100.0,104.0,100.0,102.0,101.0,104.0,104.0,104.0,103.0,103.0,100.0,104.0,101.0,105.0
22623,99.0,96.0,95.0,99.0,100.0,99.0,95.0,95.0,95.0,95.0,99.0,100.0,97.0,98.0,100.0
22624,91.0,94.0,90.0,94.0,91.0,90.0,92.0,93.0,93.0,91.0,91.0,94.0,91.0,95.0,94.0
22625,88.0,90.0,86.0,87.0,90.0,85.0,89.0,90.0,85.0,87.0,90.0,85.0,86.0,86.0,87.0
22626,84.0,80.0,85.0,85.0,81.0,82.0,85.0,82.0,83.0,83.0,83.0,84.0,52.0,62.0,81.0
22627,80.0,80.0,78.0,76.0,80.0,80.0,76.0,78.0,75.0,80.0,79.0,76.0,76.0,75.0,77.0
22628,70.0,74.0,74.0,70.0,75.0,70.0,75.0,70.0,73.0,72.0,72.0,74.0,71.0,71.0,73.0
22629,65.0,69.0,68.0,68.0,69.0,67.0,65.0,69.0,70.0,68.0,68.0,66.0,65.0,70.0,65.0
22630,65.0,62.0,62.0,65.0,60.0,62.0,60.0,64.0,63.0,61.0,60.0,63.0,60.0,63.0,63.0
22631,59.0,57.0,58.0,60.0,59.0,60.0,60.0,58.0,59.0,55.0,58.0,60.0,60.0,58.0,56.0
22632,55.0,52.0,50.0,51.0,53.0,53.0,54.0,54.0,54.0,51.0,53.0,53.0,52.0,50.0,50.0
22633,48.0,45.0,46.0,50.0,45.0,48.0,49.0,47.0,50.0,47.0,47.0,47.0,45.0,46.0,47.0
22634,41.0,42.0,42.0,42.0,40.0,41.0,,44.0,44.0,40.0,41.0,43.0,43.0,45.0,41.0
22635,40.0,36.0,37.0,37.0,35.0,40.0,38.0,35.0,36.0,35.0,,36.0,40.0,40.0,38.0
22636,30.0,32.0,31.0,35.0,33.0,33.0,34.0,35.0,32.0,34.0,30.0,32.0,35.0,34.0,30.0
22637,30.0,28.0,28.0,28.0,25.0,27.0,29.0,29.0,27.0,30.0,30.0,29.0,25.0,27.0,27.0
22638,10.0,19.0,23.0,12.0,25.0,10.0,10.0,23.0,14.0,24.0,16.0,16.0,20.0,25.0,13.0
22639,5.0,5.0,,2.0,3.0,3.0,2.0,0.0,6.0,7.0,10.0,3.0,1.0,10.0,4.0
22640,118.0,117.0,111.0,120.0,112.0,118.0,114.0,114.0,115.0,110.0,120.0,116.0,120.0,118.0,120.0
22641,108.0,107.0,108.0,107.0,108.0,106.0,108.0,107.0,109.0,107.0,109.0,109.0,110.0,110.0,107.0
22642,105.0,105.0,103.0,105.0,104.0,102.0,105.0,100.0,105.0,105.0,103.0,105.0,101.0,105.0,101.0
22643,96.0,97.0,95.0,96.0,98.0,95.0,99.0,97.0,96.0,97.0,98.0,,100.0,95.0,96.0
22644,91.0,92.0,90.0,94.0,90.0,90.0,90.0,93.0,93.0,91.0,,93.0,93.0,94.0,91.0
22645,87.0,88.0,90.0,85.0,87.0,90.0,90.0,87.0,85.0,85.0,87.0,85.0,86.0,88.0,85.0
22646,83.0,83.0,81.0,85.0,83.0,81.0,84.0,82.0,82.0,80.0,82.0,84.0,75.0,57.0,77.0
22647,78.0,76.0,77.0,77.0,77.0,78.0,78.0,77.0,79.0,80.0,78.0,76.0,78.0,75.0,77.0
22648,71.0,75.0,73.0,75.0,72.0,70.0,70.0,72.0,71.0,74.0,72.0,72.0,74.0,72.0,75.0
22649,67.0,69.0,66.0,65.0,65.0,67.0,69.0,67.0,67.0,65.0,70.0,67.0,67.0,70.0,66.0
22650,61.0,62.0,60.0,60.0,63.0,65.0,61.0,60.0,63.0,64.0,64.0,65.0,65.0,65.0,62.0
22651,57.0,55.0,57.0,56.0,59.0,55.0,56.0,58.0,56.0,58.0,55.0,60.0,55.0,57.0,60.0
22652,53.0,54.0,52.0,54.0,50.0,51.0,53.0,55.0,52.0,50.0,53.0,53.0,54.0,53.0,51.0
22653,49.0,49.0,,47.0,48.0,49.0,46.0,46.0,49.0,50.0,45.0,45.0,48.0,50.0,45.0
22654,45.0,43.0,41.0,40.0,41.0,45.0,,45.0,42.0,41.0,43.0,41.0,43.0,42.0,44.0
22655,40.0,40.0,37.0,39.0,35.0,38.0,39.0,36.0,40.0,37.0,40.0,38.0,36.0,36.0,40.0
22656,33.0,35.0,32.0,35.0,35.0,34.0,32.0,33.0,34.0,32.0,33.0,31.0,30.0,34.0,30.0
22657,30.0,30.0,28.0,29.0,25.0,,26.0,26.0,30.0,26.0,26.0,30.0,28.0,29.0,25.0
22658,24.0,23.0,20.0,15.0,25.0,21.0,10.0,11.0,13.0,16.0,12.0,12.0,24.0,23.0,21.0
22659,9.0,0.0,4.0,9.0,5.0,10.0,10.0,9.0,0.0,6.0,10.0,1.0,8.0,4.0,1.0
22660,116.0,112.0,119.0,114.0,117.0,119.0,117.0,110.0,112.0,111.0,113.0,111.0,115.0,110.0,120.0
22661,109.0,,105.0,108.0,106.0,105.0,106.0,109.0,109.0,105.0,110.0,110.0,108.0,109.0,108.0
22662,104.0,103.0,,100.0,102.0,104.0,105.0,102.0,104.0,102.0,101.0,100.0,100.0,102.0,102.0
22663,99.0,99.0,100.0,99.0,97.0,99.0,95.0,98.0,98.0,100.0,95.0,95.0,96.0,95.0,96.0
22664,92.0,93.0,95.0,95.0,91.0,93.0,92.0,94.0,94.0,90.0,93.0,93.0,90.0,94.0,94.0
22665,89.0,89.0,85.0,86.0,85.0,88.0,88.0,89.0,90.0,88.0,89.0,85.0,85.0,88.0,85.0
22666,83.0,80.0,83.0,83.0,85.0,83.0,84.0,85.0,81.0,80.0,84.0,84.0,81.0,68.0,83.0
22667,76.0,76.0,80.0,79.0,80.0,77.0,75.0,78.0,80.0,79.0,78.0,77.0,79.0,77.0,75.0
22668,70.0,72.0,70.0,,74.0,73.0,71.0,72.0,75.0,72.0,70.0,70.0,75.0,73.0,71.0
22669,68.0,70.0,67.0,70.0,65.0,70.0,68.0,66.0,70.0,69.0,69.0,70.0,68.0,66.0,
22670,65.0,61.0,62.0,64.0,62.0,64.0,62.0,61.0,62.0,64.0,61.0,64.0,61.0,60.0,61.0
22671,56.0,56.0,57.0,55.0,60.0,59.0,60.0,58.0,,56.0,59.0,57.0,57.0,57.0,57.0
22672,51.0,53.0,50.0,52.0,51.0,51.0,,51.0,55.0,55.0,51.0,52.0,51.0,52.0,55.0
22673,46.0,48.0,50.0,50.0,45.0,48.0,45.0,48.0,46.0,47.0,49.0,49.0,48.0,48.0,48.0
22674,41.0,42.0,42.0,42.0,44.0,45.0,44.0,40.0,40.0,45.0,,44.0,40.0,43.0,
22675,40.0,35.0,35.0,38.0,35.0,39.0,35.0,38.0,37.0,35.0,36.0,40.0,38.0,38.0,35.0
22676,31.0,31.0,35.0,31.0,32.0,31.0,30.0,33.0,34.0,34.0,34.0,35.0,34.0,34.0,35.0
22677,29.0,25.0,30.0,26.0,27.0,25.0,29.0,28.0,30.0,27.0,29.0,29.0,30.0,26.0,27.0
22678,17.0,15.0,17.0,17.0,19.0,17.0,24.0,15.0,13.0,14.0,24.0,24.0,25.0,15.0,19.0
22679,10.0,7.0,10.0,1.0,2.0,8.0,5.0,1.0,4.0,10.0,1.0,6.0,6.0,7.0,9.0
22680,110.0,115.0,110.0,113.0,120.0,117.0,111.0,114.0,113.0,116.0,112.0,116.0,115.0,118.0,113.0
22681,107.0,106.0,109.0,109.0,108.0,107.0,110.0,108.0,109.0,107.0,105.0,108.0,107.0,107.0,108.0
22682,105.0,104.0,100.0,102.0,102.0,105.0,100.0,100.0,100.0,103.0,100.0,101.0,,102.0,101.0
22683,95.0,100.0,98.0,96.0,96.0,96.0,97.0,97.0,98.0,99.0,99.0,95.0,100.0,100.0,99.0
22684,95.0,93.0,93.0,95.0,95.0,91.0,95.0,95.0,95.0,91.0,93.0,93.0,95.0,90.0,91.0
22685,,86.0,90.0,89.0,88.0,85.0,86.0,89.0,90.0,90.0,87.0,90.0,85.0,89.0,85.0
22686,85.0,82.0,83.0,80.0,81.0,85.0,85.0,80.0,85.0,84.0,85.0,84.0,57.0,77.0,70.0
22687,79.0,76.0,77.0,76.0,75.0,77.0,77.0,79.0,78.0,76.0,77.0,80.0,79.0,76.0,78.0
22688,75.0,70.0,71.0,72.0,71.0,73.0,70.0,73.0,72.0,74.0,73.0,74.0,70.0,74.0,72.0
22689,67.0,68.0,68.0,70.0,70.0,66.0,67.0,65.0,65.0,67.0,67.0,70.0,68.0,65.0,70.0
22690,61.0,61.0,61.0,63.0,60.0,63.0,64.0,65.0,63.0,65.0,64.0,60.0,65.0,65.0,65.0
22691,57.0,59.0,59.0,59.0,58.0,56.0,57.0,59.0,55.0,58.0,55.0,60.0,60.0,57.0,59.0
22692,52.0,55.0,54.0,50.0,51.0,53.0,53.0,53.0,55.0,53.0,52.0,55.0,53.0,54.0,50.0
22693,48.0,49.0,45.0,45.0,47.0,50.0,48.0,49.0,50.0,45.0,47.0,48.0,46.0,50.0,49.0
22694,42.0,43.0,45.0,45.0,43.0,43.0,45.0,40.0,40.0,40.0,43.0,42.0,40.0,40.0,44.0
22695,35.0,35.0,37.0,35.0,36.0,38.0,35.0,36.0,40.0,40.0,39.0,40.0,35.0,38.0,36.0
22696,33.0,35.0,30.0,31.0,30.0,30.0,34.0,35.0,31.0,32.0,35.0,35.0,32.0,33.0,33.0
22697,28.0,29.0,29.0,28.0,28.0,30.0,30.0,28.0,26.0,29.0,30.0,30.0,30.0,27.0,30.0
22698,24.0,23.0,15.0,21.0,14.0,22.0,13.0,17.0,14.0,23.0,15.0,19.0,12.0,19.0,24.0
22699,9.0,2.0,10.0,8.0,4.0,4.0,1.0,4.0,9.0,4.0,6.0,0.0,10.0,2.0,
22700,120.0,111.0,112.0,114.0,114.0,118.0,117.0,120.0,117.0,119.0,115.0,116.0,119.0,118.0,119.0
22701,106.0,106.0,105.0,105.0,105.0,109.0,105.0,108.0,106.0,109.0,106.0,106.0,107.0,107.0,108.0
22702,105.0,101.0,101.0,100.0,101.0,103.0,104.0,101.0,100.0,103.0,101.0,101.0,102.0,104.0,100.0
22703,100.0,98.0,97.0,97.0,96.0,96.0,97.0,99.0,100.0,100.0,97.0,96.0,97.0,98.0,95.0
22704,93.0,91.0,95.0,92.0,91.0,94.0,94.0,94.0,93.0,94.0,93.0,94.0,92.0,90.0,95.0
22705,88.0,89.0,88.0,85.0,86.0,85.0,89.0,86.0,87.0,85.0,89.0,85.0,85.0,86.0,88.0
22706,81.0,80.0,84.0,82.0,85.0,82.0,82.0,83.0,85.0,84.0,82.0,83.0,52.0,61.0,71.0
22707,80.0,76.0,75.0,77.0,75.0,78.0,78.0,78.0,75.0,75.0,77.0,80.0,80.0,80.0,76.0
22708,70.0,71.0,73.0,71.0,71.0,72.0,73.0,75.0,75.0,71.0,71.0,73.0,72.0,75.0,70.0
22709,70.0,65.0,67.0,69.0,68.0,70.0,69.0,68.0,70.0,69.0,65.0,68.0,65.0,66.0,65.0
22710,65.0,62.0,61.0,63.0,64.0,64.0,64.0,63.0,61.0,65.0,64.0,65.0,62.0,63.0,65.0
22711,59.0,60.0,59.0,58.0,60.0,60.0,60.0,57.0,59.0,60.0,59.0,59.0,60.0,57.0,60.0
22712,54.0,53.0,50.0,55.0,50.0,53.0,53.0,50.0,50.0,50.0,52.0,51.0,52.0,55.0,54.0
22713,46.0,48.0,49.0,48.0,50.0,50.0,46.0,48.0,49.0,50.0,48.0,46.0,45.0,49.0,
22714,44.0,44.0,43.0,42.0,41.0,42.0,40.0,42.0,45.0,43.0,41.0,40.0,40.0,45.0,
22715,36.0,36.0,38.0,40.0,36.0,35.0,36.0,39.0,36.0,38.0,40.0,37.0,39.0,38.0,36.0
22716,31.0,32.0,34.0,33.0,35.0,32.0,31.0,35.0,34.0,35.0,30.0,33.0,31.0,31.0,33.0
22717,29.0,29.0,30.0,30.0,27.0,27.0,25.0,29.0,30.0,29.0,30.0,29.0,26.0,27.0,30.0
22718,19.0,24.0,22.0,11.0,12.0,13.0,14.0,24.0,10.0,11.0,21.0,23.0,18.0,21.0,25.0
22719,9.0,4.0,9.0,1.0,6.0,2.0,5.0,3.0,1.0,3.0,9.0,6.0,10.0,0.0,9.0
22720,114.0,120.0,117.0,110.0,115.0,110.0,117.0,113.0,115.0,120.0,115.0,111.0,112.0,119.0,112.0
22721,105.0,108.0,110.0,110.0,107.0,110.0,105.0,,105.0,107.0,106.0,105.0,109.0,108.0,109.0
22722,103.0,101.0,105.0,101.0,103.0,104.0,101.0,100.0,104.0,103.0,104.0,105.0,102.0,105.0,104.0
22723,100.0,96.0,100.0,98.0,96.0,96.0,95.0,97.0,96.0,95.0,100.0,99.0,95.0,98.0,97.0
22724,92.0,93.0,92.0,94.0,95.0,92.0,90.0,91.0,91.0,93.0,94.0,95.0,94.0,93.0,90.0
22725,87.0,90.0,85.0,85.0,88.0,85.0,89.0,86.0,85.0,86.0,88.0,89.0,90.0,88.0,90.0
22726,84.0,81.0,82.0,80.0,83.0,82.0,81.0,84.0,82.0,83.0,85.0,85.0,64.0,75.0,68.0
22727,75.0,77.0,78.0,79.0,78.0,78.0,76.0,80.0,77.0,79.0,80.0,77.0,77.0,76.0,76.0
22728,72.0,74.0,71.0,70.0,75.0,75.0,73.0,71.0,70.0,71.0,70.0,75.0,75.0,71.0,70.0
22729,68.0,66.0,67.0,67.0,70.0,68.0,65.0,68.0,66.0,66.0,65.0,65.0,69.0,68.0,70.0
22730,60.0,64.0,65.0,63.0,60.0,62.0,65.0,62.0,63.0,60.0,62.0,,64.0,60.0,64.0
22731,59.0,56.0,58.0,60.0,56.0,55.0,55.0,59.0,58.0,55.0,55.0,55.0,57.0,58.0,57.0
22732,54.0,55.0,52.0,54.0,55.0,53.0,55.0,53.0,51.0,52.0,55.0,54.0,50.0,55.0,50.0
22733,49.0,49.0,48.0,46.0,47.0,48.0,50.0,48.0,49.0,46.0,50.0,45.0,48.0,48.0,48.0
22734,41.0,40.0,45.0,44.0,41.0,45.0,40.0,40.0,40.0,41.0,42.0,44.0,42.0,43.0,40.0
22735,37.0,35.0,39.0,40.0,35.0,39.0,38.0,36.0,35.0,37.0,37.0,38.0,40.0,36.0,38.0
22736,35.0,35.0,33.0,33.0,34.0,30.0,31.0,32.0,33.0,30.0,35.0,35.0,,33.0,33.0
22737,29.0,29.0,25.0,29.0,29.0,28.0,30.0,25.0,30.0,25.0,26.0,28.0,26.0,28.0,27.0
22738,18.0,17.0,13.0,19.0,12.0,18.0,15.0,12.0,16.0,16.0,14.0,25.0,10.0,23.0,10.0
22739,7.0,0.0,9.0,6.0,1.0,6.0,8.0,9.0,1.0,6.0,3.0,4.0,10.0,9.0,3.0
22740,118.0,,113.0,118.0,117.0,115.0,116.0,111.0,117.0,116.0,110.0,117.0,120.0,115.0,114.0
22741,105.0,106.0,110.0,107.0,105.0,107.0,106.0,108.0,107.0,108.0,105.0,108.0,107.0,108.0,105.0
22742,100.0,104.0,105.0,105.0,102.0,102.0,103.0,101.0,100.0,100.0,105.0,102.0,102.0,104.0,101.0
22743,97.0,97.0,95.0,99.0,100.0,100.0,96.0,100.0,98.0,100.0,98.0,100.0,95.0,97.0,96.0
22744,92.0,92.0,92.0,90.0,91.0,90.0,93.0,95.0,92.0,93.0,94.0,91.0,90.0,93.0,91.0
22745,89.0,88.0,85.0,87.0,89.0,89.0,86.0,87.0,85.0,85.0,88.0,88.0,88.0,90.0,86.0
22746,81.0,85.0,82.0,80.0,83.0,85.0,82.0,80.0,84.0,85.0,85.0,84.0,59.0,78.0,55.0
22747,78.0,77.0,79.0,77.0,75.0,78.0,79.0,79.0,76.0,,78.0,75.0,79.0,78.0,76.0
22748,71.0,75.0,72.0,73.0,74.0,71.0,73.0,72.0,73.0,71.0,75.0,70.0,72.0,70.0,72.0
22749,66.0,66.0,65.0,65.0,66.0,66.0,65.0,66.0,67.0,66.0,67.0,69.0,67.0,66.0,65.0
22750,61.0,62.0,63.0,65.0,65.0,65.0,63.0,60.0,61.0,65.0,65.0,61.0,61.0,63.0,62.0
22751,55.0,55.0,55.0,56.0,56.0,58.0,55.0,55.0,57.0,58.0,56.0,57.0,57.0,58.0,58.0
22752,53.0,54.0,50.0,50.0,50.0,51.0,,52.0,55.0,55.0,52.0,51.0,51.0,53.0,50.0
22753,48.0,47.0,49.0,49.0,45.0,45.0,49.0,45.0,50.0,50.0,50.0,50.0,46.0,48.0,46.0
22754,44.0,42.0,41.0,42.0,44.0,43.0,40.0,40.0,43.0,40.0,45.0,45.0,44.0,41.0,41.0
22755,37.0,36.0,36.0,40.0,39.0,36.0,37.0,36.0,37.0,36.0,39.0,40.0,39.0,39.0,37.0
22756,35.0,33.0,35.0,34.0,31.0,30.0,35.0,31.0,35.0,30.0,34.0,35.0,32.0,33.0,30.0
22757,26.0,26.0,25.0,26.0,30.0,27.0,25.0,26.0,30.0,27.0,25.0,26.0,29.0,,30.0
22758,23.0,24.0,11.0,17.0,18.0,24.0,24.0,10.0,20.0,11.0,21.0,13.0,11.0,14.0,17.0
22759,4.0,5.0,0.0,5.0,4.0,4.0,0.0,2.0,5.0,4.0,1.0,6.0,3.0,2.0,6.0
22760,119.0,113.0,111.0,118.0,112.0,119.0,115.0,110.0,120.0,112.0,119.0,117.0,113.0,116.0,113.0
22761,106.0,110.0,108.0,110.0,109.0,108.0,110.0,109.0,107.0,107.0,107.0,108.0,108.0,109.0,109.0
22762,101.0,101.0,100.0,102.0,104.0,104.0,105.0,104.0,105.0,101.0,101.0,103.0,102.0,104.0,101.0
22763,99.0,97.0,98.0,96.0,95.0,97.0,100.0,96.0,95.0,100.0,95.0,100.0,95.0,95.0,96.0
22764,90.0,95.0,91.0,92.0,92.0,93.0,91.0,91.0,93.0,92.0,90.0,90.0,92.0,90.0,93.0
22765,88.0,86.0,90.0,88.0,86.0,88.0,89.0,90.0,89.0,89.0,87.0,90.0,89.0,85.0,85.0
22766,84.0,80.0,81.0,80.0,81.0,85.0,83.0,83.0,83.0,80.0,80.0,80.0,51.0,77.0,71.0
22767,76.0,76.0,78.0,78.0,78.0,80.0,80.0,78.0,75.0,78.0,75.0,80.0,78.0,78.0,75.0
22768,75.0,74.0,73.0,71.0,71.0,72.0,74.0,73.0,74.0,75.0,73.0,73.0,72.0,73.0,75.0
22769,69.0,66.0,65.0,70.0,65.0,68.0,66.0,65.0,66.0,70.0,69.0,66.0,65.0,68.0,69.0
22770,63.0,61.0,62.0,60.0,62.0,65.0,62.0,60.0,62.0,64.0,62.0,65.0,62.0,62.0,64.0
22771,58.0,55.0,60.0,57.0,55.0,56.0,57.0,60.0,57.0,58.0,60.0,57.0,58.0,58.0,60.0
22772,55.0,54.0,50.0,50.0,50.0,54.0,52.0,,51.0,52.0,52.0,55.0,52.0,55.0,52.0
22773,45.0,46.0,47.0,48.0,50.0,46.0,48.0,46.0,50.0,46.0,46.0,,45.0,49.0,46.0
22774,41.0,45.0,40.0,44.0,45.0,40.0,45.0,42.0,43.0,44.0,41.0,44.0,40.0,40.0,42.0
22775,36.0,35.0,37.0,38.0,36.0,36.0,36.0,35.0,37.0,36.0,37.0,36.0,38.0,35.0,39.0
22776,31.0,34.0,31.0,31.0,30.0,34.0,30.0,33.0,32.0,30.0,34.0,,31.0,32.0,30.0
22777,29.0,28.0,29.0,25.0,30.0,26.0,27.0,29.0,25.0,30.0,26.0,27.0,26.0,26.0,26.0
22778,23.0,11.0,20.0,20.0,18.0,12.0,15.0,20.0,,18.0,18.0,21.0,21.0,25.0,17.0
22779,1.0,6.0,5.0,10.0,4.0,6.0,1.0,1.0,3.0,9.0,0.0,10.0,6.0,0.0,9.0
22780,113.0,119.0,115.0,120.0,110.0,111.0,115.0,115.0,117.0,113.0,113.0,118.0,118.0,115.0,120.0
22781,105.0,108.0,109.0,106.0,108.0,107.0,107.0,105.0,107.0,110.0,108.0,109.0,108.0,108.0,107.0
22782,104.0,102.0,105.0,100.0,102.0,102.0,102.0,103.0,100.0,100.0,105.0,100.0,101.0,102.0,105.0
22783,96.0,98.0,95.0,,95.0,96.0,100.0,97.0,96.0,96.0,97.0,98.0,97.0,96.0,100.0
22784,94.0,94.0,95.0,94.0,95.0,95.0,91.0,95.0,90.0,90.0,90.0,92.0,91.0,90.0,91.0
22785,90.0,89.0,85.0,85.0,88.0,90.0,88.0,85.0,85.0,89.0,86.0,89.0,90.0,87.0,88.0
