Id,MathScore,ReadingScore,WritingScore
2169056,55.0,57.0,64.0
2169057,90.0,78.0,78.0
2169058,96.0,91.0,86.0
2169059,100.0,98.0,95.0
2169060,41.0,,43.0
2169061,58.0,73.0,67.0
2169062,46.0,49.0,53.0
2169063,61.0,57.0,59.0
2169064,82.0,82.0,81.0
2169065,,72.0,69.0
2169066,92.0,100.0,100.0
2169067,80.0,71.0,67.0
2169068,83.0,97.0,100.0
2169069,62.0,61.0,54.0
2169070,78.0,75.0,77.0
2169071,68.0,72.0,75.0
2169072,83.0,78.0,74.0
2169073,87.0,78.0,88.0
2169074,81.0,75.0,80.0
2169075,60.0,56.0,55.0
2169076,71.0,80.0,88.0
2169077,95.0,98.0,94.0
2169078,66.0,60.0,57.0
2169079,63.0,56.0,51.0
2169080,53.0,34.0,41.0
2169081,63.0,75.0,78.0
2169082,55.0,55.0,59.0
2169083,55.0,68.0,70.0
2169084,92.0,92.0,95.0
2169085,76.0,84.0,83.0
2169086,85.0,71.0,63.0
2169087,56.0,76.0,75.0
2169088,50.0,57.0,53.0
2169089,,64.0,71.0
2169090,90.0,87.0,
2169091,52.0,45.0,36.0
2169092,,78.0,78.0
2169093,55.0,52.0,53.0
2169094,80.0,100.0,98.0
2169095,60.0,47.0,45.0
2169096,79.0,65.0,63.0
2169097,90.0,83.0,81.0
2169098,90.0,91.0,86.0
2169099,56.0,58.0,61.0
2169100,59.0,64.0,69.0
2169101,77.0,72.0,68.0
2169102,48.0,66.0,65.0
2169103,44.0,54.0,57.0
2169104,73.0,71.0,77.0
2169105,50.0,61.0,57.0
2169106,76.0,85.0,87.0
2169107,58.0,53.0,47.0
2169108,77.0,88.0,79.0
2169109,59.0,57.0,47.0
2169110,54.0,41.0,43.0
2169111,64.0,58.0,53.0
2169112,88.0,98.0,91.0
2169113,82.0,94.0,82.0
2169114,72.0,80.0,78.0
2169115,54.0,54.0,42.0
2169116,53.0,57.0,53.0
2169117,65.0,61.0,64.0
2169118,76.0,73.0,72.0
2169119,72.0,66.0,70.0
2169120,43.0,41.0,35.0
2169121,65.0,55.0,56.0
2169122,55.0,66.0,62.0
2169123,68.0,58.0,64.0
2169124,73.0,68.0,69.0
2169125,51.0,55.0,54.0
2169126,63.0,64.0,70.0
2169127,35.0,47.0,51.0
2169128,75.0,73.0,67.0
2169129,90.0,86.0,88.0
2169130,50.0,56.0,
2169131,94.0,83.0,83.0
2169132,62.0,65.0,63.0
2169133,79.0,,67.0
2169134,73.0,64.0,68.0
2169135,,84.0,84.0
2169136,68.0,77.0,79.0
2169137,90.0,85.0,93.0
2169138,46.0,59.0,55.0
2169139,47.0,51.0,41.0
2169140,64.0,67.0,73.0
2169141,46.0,62.0,62.0
2169142,78.0,72.0,69.0
2169143,68.0,78.0,71.0
2169144,74.0,68.0,64.0
2169145,56.0,71.0,68.0
2169146,93.0,99.0,94.0
2169147,36.0,40.0,39.0
2169148,76.0,61.0,64.0
2169149,32.0,37.0,37.0
2169150,71.0,67.0,61.0
2169151,77.0,83.0,84.0
2169152,62.0,73.0,70.0
2169153,66.0,60.0,51.0
2169154,74.0,81.0,82.0
2169155,61.0,70.0,69.0
2169156,78.0,78.0,82.0
2169157,75.0,82.0,84.0
2169158,,67.0,56.0
2169159,87.0,67.0,75.0
2169160,66.0,54.0,54.0
2169161,68.0,60.0,
2169162,84.0,90.0,91.0
2169163,69.0,67.0,67.0
2169164,75.0,60.0,70.0
2169165,64.0,78.0,74.0
2169166,72.0,70.0,65.0
2169167,,92.0,95.0
2169168,87.0,95.0,87.0
2169169,26.0,38.0,42.0
2169170,65.0,87.0,82.0
2169171,51.0,61.0,
2169172,63.0,76.0,79.0
2169173,65.0,72.0,71.0
2169174,59.0,61.0,58.0
2169175,71.0,79.0,73.0
2169176,,55.0,51.0
2169177,43.0,44.0,42.0
2169178,82.0,92.0,88.0
2169179,85.0,85.0,84.0
2169180,70.0,81.0,84.0
2169181,52.0,48.0,46.0
2169182,72.0,68.0,61.0
2169183,93.0,94.0,95.0
2169184,72.0,84.0,79.0
2169185,56.0,,41.0
2169186,67.0,67.0,68.0
2169187,56.0,46.0,45.0
2169188,53.0,68.0,67.0
2169189,91.0,,86.0
2169190,44.0,59.0,54.0
2169191,100.0,88.0,85.0
2169192,65.0,55.0,45.0
2169193,69.0,75.0,70.0
2169194,42.0,44.0,40.0
2169195,86.0,87.0,83.0
2169196,54.0,64.0,64.0
2169197,58.0,44.0,47.0
2169198,42.0,39.0,41.0
2169199,76.0,65.0,62.0
2169200,56.0,55.0,49.0
2169201,77.0,84.0,81.0
2169202,78.0,88.0,88.0
2169203,,59.0,61.0
2169204,84.0,83.0,84.0
2169205,42.0,38.0,31.0
2169206,71.0,78.0,
2169207,54.0,59.0,64.0
2169208,35.0,,49.0
2169209,56.0,54.0,63.0
2169210,77.0,60.0,60.0
2169211,87.0,92.0,85.0
2169212,65.0,59.0,67.0
2169213,90.0,85.0,76.0
2169214,85.0,,80.0
2169215,53.0,74.0,75.0
2169216,62.0,,79.0
2169217,69.0,92.0,85.0
2169218,93.0,92.0,86.0
2169219,43.0,42.0,47.0
2169220,,92.0,90.0
2169221,61.0,62.0,57.0
2169222,68.0,75.0,68.0
2169223,100.0,92.0,100.0
2169224,46.0,67.0,64.0
2169225,64.0,53.0,51.0
2169226,86.0,85.0,84.0
2169227,86.0,79.0,78.0
2169228,62.0,63.0,60.0
2169229,41.0,37.0,33.0
2169230,87.0,73.0,79.0
2169231,75.0,84.0,81.0
2169232,,70.0,79.0
2169233,94.0,87.0,88.0
2169234,81.0,86.0,96.0
2169235,79.0,80.0,76.0
2169236,58.0,66.0,67.0
2169237,99.0,86.0,85.0
2169238,39.0,55.0,51.0
2169239,79.0,98.0,94.0
2169240,80.0,70.0,69.0
2169241,72.0,72.0,68.0
2169242,82.0,72.0,73.0
2169243,,77.0,81.0
2169244,71.0,76.0,75.0
2169245,88.0,97.0,99.0
2169246,62.0,71.0,68.0
2169247,90.0,,91.0
2169248,66.0,80.0,78.0
2169249,50.0,62.0,60.0
2169250,67.0,74.0,73.0
2169251,60.0,72.0,76.0
2169252,67.0,84.0,84.0
2169253,48.0,59.0,61.0
2169254,75.0,79.0,73.0
2169255,61.0,77.0,73.0
2169256,74.0,82.0,81.0
2169257,83.0,97.0,91.0
2169258,77.0,75.0,73.0
2169259,71.0,82.0,
2169260,69.0,73.0,
2169261,57.0,55.0,54.0
2169262,,68.0,63.0
2169263,61.0,70.0,73.0
2169264,72.0,85.0,82.0
2169265,62.0,65.0,64.0
2169266,43.0,54.0,51.0
2169267,66.0,60.0,58.0
2169268,68.0,67.0,62.0
2169269,76.0,80.0,81.0
2169270,60.0,66.0,67.0
2169271,61.0,62.0,61.0
2169272,69.0,74.0,73.0
2169273,72.0,72.0,67.0
2169274,66.0,70.0,69.0
2169275,55.0,67.0,67.0
2169276,77.0,69.0,64.0
2169277,75.0,67.0,60.0
2169278,86.0,93.0,90.0
2169279,63.0,62.0,57.0
2169280,78.0,80.0,77.0
2169281,68.0,77.0,76.0
2169282,71.0,66.0,70.0
2169283,84.0,99.0,98.0
2169284,72.0,81.0,
2169285,58.0,54.0,52.0
2169286,79.0,76.0,77.0
2169287,71.0,75.0,78.0
2169288,98.0,89.0,89.0
2169289,70.0,81.0,78.0
2169290,69.0,88.0,82.0
2169291,92.0,87.0,88.0
2169292,67.0,58.0,60.0
2169293,72.0,84.0,78.0
2169294,76.0,90.0,
2169295,65.0,68.0,71.0
2169296,84.0,86.0,87.0
2169297,69.0,82.0,
2169298,70.0,78.0,79.0
2169299,77.0,68.0,64.0
2169300,47.0,62.0,61.0
2169301,85.0,86.0,85.0
2169302,56.0,68.0,69.0
2169303,60.0,71.0,71.0
2169304,82.0,76.0,64.0
2169305,76.0,79.0,81.0
2169306,71.0,82.0,85.0
2169307,61.0,61.0,63.0
2169308,39.0,55.0,55.0
2169309,78.0,65.0,67.0
2169310,74.0,83.0,85.0
2169311,51.0,50.0,54.0
2169312,59.0,60.0,57.0
2169313,97.0,85.0,78.0
2169314,56.0,72.0,73.0
2169315,92.0,91.0,86.0
2169316,53.0,64.0,67.0
2169317,32.0,37.0,30.0
2169318,43.0,66.0,62.0
2169319,78.0,75.0,72.0
2169320,70.0,58.0,54.0
2169321,72.0,84.0,79.0
2169322,57.0,66.0,61.0
2169323,82.0,83.0,
2169324,60.0,74.0,70.0
2169325,70.0,76.0,65.0
2169326,77.0,86.0,77.0
2169327,65.0,73.0,68.0
2169328,58.0,64.0,70.0
2169329,50.0,57.0,63.0
2169330,79.0,80.0,80.0
2169331,72.0,64.0,63.0
2169332,74.0,75.0,81.0
2169333,75.0,95.0,87.0
2169334,67.0,65.0,
2169335,79.0,86.0,89.0
2169336,78.0,87.0,83.0
2169337,64.0,80.0,85.0
2169338,86.0,89.0,89.0
2169339,64.0,72.0,77.0
2169340,76.0,69.0,69.0
2169341,57.0,80.0,83.0
2169342,72.0,86.0,85.0
2169343,49.0,60.0,69.0
2169344,61.0,75.0,68.0
2169345,89.0,76.0,73.0
2169346,58.0,68.0,69.0
2169347,53.0,55.0,57.0
2169348,64.0,84.0,78.0
2169349,90.0,97.0,100.0
2169350,49.0,62.0,66.0
2169351,51.0,56.0,60.0
2169352,60.0,63.0,68.0
2169353,86.0,94.0,90.0
2169354,78.0,84.0,77.0
2169355,77.0,86.0,81.0
2169356,75.0,79.0,76.0
2169357,83.0,75.0,82.0
2169358,34.0,32.0,29.0
2169359,85.0,91.0,89.0
2169360,84.0,72.0,
2169361,56.0,,64.0
2169362,70.0,79.0,72.0
2169363,52.0,57.0,63.0
2169364,79.0,75.0,75.0
2169365,62.0,75.0,77.0
2169366,86.0,88.0,89.0
2169367,72.0,58.0,59.0
2169368,74.0,73.0,65.0
2169369,64.0,76.0,79.0
2169370,33.0,43.0,47.0
2169371,81.0,84.0,83.0
2169372,75.0,83.0,79.0
2169373,67.0,62.0,67.0
2169374,70.0,87.0,78.0
2169375,99.0,93.0,97.0
2169376,63.0,58.0,51.0
2169377,84.0,72.0,70.0
2169378,,73.0,74.0
2169379,56.0,58.0,58.0
2169380,69.0,66.0,71.0
2169381,63.0,67.0,68.0
2169382,48.0,44.0,46.0
2169383,49.0,79.0,78.0
2169384,79.0,71.0,72.0
2169385,52.0,68.0,73.0
2169386,,59.0,55.0
2169387,79.0,86.0,87.0
2169388,32.0,35.0,40.0
2169389,65.0,70.0,66.0
2169390,70.0,80.0,81.0
2169391,52.0,65.0,57.0
2169392,66.0,68.0,68.0
2169393,73.0,65.0,62.0
2169394,78.0,92.0,94.0
2169395,69.0,85.0,83.0
2169396,66.0,70.0,68.0
2169397,61.0,75.0,70.0
2169398,72.0,72.0,73.0
2169399,65.0,,68.0
2169400,92.0,85.0,75.0
2169401,64.0,80.0,75.0
2169402,80.0,74.0,77.0
2169403,50.0,65.0,67.0
2169404,,83.0,84.0
2169405,49.0,59.0,64.0
2169406,76.0,76.0,84.0
2169407,28.0,36.0,34.0
2169408,36.0,35.0,35.0
2169409,85.0,87.0,83.0
2169410,66.0,65.0,72.0
2169411,74.0,90.0,83.0
2169412,93.0,84.0,90.0
2169413,42.0,60.0,50.0
2169414,73.0,60.0,57.0
2169415,83.0,95.0,87.0
2169416,79.0,66.0,75.0
2169417,83.0,84.0,82.0
2169418,100.0,86.0,
2169419,64.0,67.0,71.0
2169420,78.0,75.0,77.0
2169421,97.0,92.0,90.0
2169422,,83.0,85.0
2169423,65.0,78.0,80.0
2169424,57.0,65.0,65.0
2169425,52.0,57.0,52.0
2169426,37.0,63.0,62.0
2169427,89.0,80.0,79.0
2169428,76.0,90.0,88.0
2169429,,85.0,86.0
2169430,82.0,74.0,70.0
2169431,80.0,73.0,69.0
2169432,61.0,70.0,64.0
2169433,56.0,72.0,68.0
2169434,52.0,59.0,59.0
2169435,93.0,86.0,75.0
2169436,79.0,87.0,91.0
2169437,46.0,72.0,61.0
2169438,62.0,66.0,65.0
2169439,34.0,44.0,
2169440,,47.0,47.0
2169441,75.0,74.0,68.0
2169442,49.0,,42.0
2169443,62.0,71.0,68.0
2169444,67.0,83.0,76.0
2169445,68.0,80.0,82.0
2169446,87.0,91.0,87.0
2169447,47.0,61.0,56.0
2169448,70.0,84.0,87.0
2169449,79.0,68.0,63.0
2169450,57.0,61.0,58.0
2169451,78.0,68.0,67.0
2169452,56.0,58.0,62.0
2169453,58.0,71.0,68.0
2169454,58.0,51.0,43.0
2169455,70.0,73.0,70.0
2169456,56.0,51.0,52.0
2169457,78.0,81.0,75.0
2169458,70.0,70.0,66.0
2169459,91.0,89.0,88.0
2169460,85.0,78.0,82.0
2169461,51.0,55.0,45.0
2169462,51.0,48.0,40.0
2169463,69.0,78.0,79.0
2169464,72.0,68.0,60.0
2169465,48.0,59.0,60.0
2169466,67.0,72.0,70.0
2169467,48.0,64.0,56.0
2169468,67.0,66.0,64.0
2169469,38.0,44.0,41.0
2169470,73.0,84.0,93.0
2169471,23.0,37.0,35.0
2169472,70.0,73.0,69.0
2169473,78.0,75.0,73.0
2169474,57.0,62.0,62.0
2169475,91.0,73.0,77.0
2169476,58.0,64.0,61.0
2169477,66.0,64.0,60.0
2169478,60.0,66.0,65.0
2169479,55.0,62.0,58.0
2169480,63.0,69.0,63.0
2169481,52.0,54.0,45.0
2169482,97.0,95.0,99.0
2169483,61.0,65.0,60.0
2169484,79.0,84.0,73.0
2169485,60.0,70.0,74.0
2169486,96.0,100.0,100.0
2169487,77.0,71.0,77.0
2169488,69.0,72.0,72.0
2169489,31.0,37.0,41.0
2169490,74.0,70.0,66.0
2169491,80.0,72.0,70.0
2169492,79.0,74.0,72.0
2169493,76.0,67.0,64.0
2169494,70.0,77.0,78.0
2169495,65.0,78.0,81.0
2169496,70.0,67.0,69.0
2169497,87.0,87.0,77.0
2169498,72.0,78.0,78.0
2169499,61.0,65.0,63.0
2169500,74.0,71.0,72.0
2169501,69.0,56.0,60.0
2169502,81.0,68.0,68.0
2169503,71.0,64.0,66.0
2169504,49.0,43.0,45.0
2169505,75.0,81.0,87.0
2169506,75.0,64.0,68.0
2169507,88.0,81.0,87.0
2169508,48.0,45.0,39.0
2169509,89.0,86.0,93.0
2169510,51.0,49.0,48.0
2169511,41.0,55.0,54.0
2169512,47.0,,59.0
2169513,38.0,38.0,45.0
2169514,78.0,80.0,87.0
2169515,59.0,66.0,61.0
2169516,35.0,46.0,49.0
2169517,35.0,36.0,37.0
2169518,63.0,77.0,73.0
2169519,77.0,78.0,80.0
2169520,74.0,,63.0
2169521,69.0,70.0,60.0
2169522,69.0,74.0,74.0
2169523,74.0,68.0,61.0
2169524,49.0,64.0,67.0
2169525,99.0,93.0,92.0
2169526,86.0,85.0,87.0
2169527,64.0,68.0,72.0
2169528,66.0,66.0,65.0
2169529,51.0,45.0,47.0
2169530,87.0,81.0,76.0
2169531,82.0,94.0,90.0
2169532,67.0,51.0,54.0
2169533,31.0,44.0,40.0
2169534,58.0,49.0,52.0
2169535,59.0,65.0,62.0
2169536,,68.0,73.0
2169537,64.0,82.0,84.0
2169538,61.0,71.0,75.0
2169539,81.0,71.0,69.0
2169540,46.0,43.0,43.0
2169541,70.0,66.0,65.0
2169542,77.0,64.0,69.0
2169543,82.0,100.0,99.0
2169544,75.0,80.0,79.0
2169545,53.0,57.0,60.0
2169546,72.0,74.0,81.0
2169547,55.0,60.0,66.0
2169548,87.0,77.0,75.0
2169549,88.0,94.0,96.0
2169550,85.0,83.0,81.0
2169551,90.0,81.0,84.0
2169552,66.0,58.0,59.0
2169553,37.0,47.0,47.0
2169554,68.0,76.0,
2169555,41.0,52.0,53.0
2169556,61.0,73.0,65.0
2169557,50.0,57.0,55.0
2169558,58.0,62.0,56.0
2169559,63.0,63.0,63.0
2169560,70.0,62.0,
2169561,28.0,,31.0
2169562,67.0,67.0,67.0
2169563,54.0,69.0,68.0
2169564,54.0,55.0,63.0
2169565,77.0,83.0,89.0
2169566,81.0,80.0,91.0
2169567,98.0,94.0,96.0
2169568,88.0,,87.0
2169569,68.0,74.0,72.0
2169570,48.0,51.0,44.0
2169571,72.0,76.0,65.0
2169572,47.0,49.0,57.0
2169573,81.0,83.0,83.0
2169574,54.0,69.0,63.0
2169575,69.0,61.0,62.0
2169576,67.0,74.0,67.0
2169577,100.0,98.0,98.0
2169578,100.0,88.0,93.0
2169579,41.0,44.0,34.0
2169580,40.0,57.0,51.0
2169581,42.0,58.0,55.0
2169582,34.0,,41.0
2169583,50.0,45.0,43.0
2169584,77.0,76.0,81.0
2169585,54.0,68.0,63.0
2169586,58.0,66.0,61.0
2169587,66.0,65.0,73.0
2169588,53.0,63.0,62.0
2169589,84.0,91.0,96.0
2169590,89.0,81.0,88.0
2169591,66.0,75.0,71.0
2169592,75.0,75.0,75.0
2169593,61.0,64.0,67.0
2169594,57.0,55.0,49.0
2169595,76.0,76.0,70.0
2169596,55.0,,67.0
2169597,81.0,72.0,71.0
2169598,39.0,36.0,
2169599,66.0,69.0,65.0
2169600,78.0,73.0,70.0
2169601,89.0,76.0,
2169602,83.0,68.0,76.0
2169603,58.0,57.0,59.0
2169604,57.0,64.0,59.0
2169605,50.0,56.0,53.0
2169606,61.0,71.0,66.0
2169607,66.0,57.0,
2169608,45.0,54.0,59.0
2169609,37.0,44.0,47.0
2169610,88.0,88.0,90.0
2169611,50.0,60.0,58.0
2169612,46.0,65.0,63.0
2169613,64.0,71.0,70.0
2169614,94.0,86.0,86.0
2169615,94.0,83.0,81.0
2169616,84.0,69.0,74.0
2169617,60.0,57.0,
2169618,79.0,77.0,73.0
2169619,34.0,45.0,44.0
2169620,36.0,58.0,57.0
2169621,76.0,83.0,74.0
2169622,58.0,73.0,71.0
2169623,59.0,66.0,64.0
2169624,,72.0,72.0
2169625,86.0,87.0,89.0
2169626,,80.0,83.0
2169627,75.0,85.0,85.0
2169628,52.0,71.0,67.0
2169629,62.0,70.0,64.0
2169630,88.0,83.0,80.0
2169631,65.0,74.0,
2169632,41.0,61.0,60.0
2169633,46.0,41.0,40.0
2169634,95.0,95.0,92.0
2169635,60.0,50.0,49.0
2169636,94.0,90.0,86.0
2169637,57.0,71.0,70.0
2169638,94.0,89.0,87.0
2169639,60.0,68.0,67.0
2169640,81.0,71.0,74.0
2169641,80.0,74.0,71.0
2169642,61.0,47.0,44.0
2169643,48.0,62.0,63.0
2169644,73.0,80.0,78.0
2169645,30.0,50.0,43.0
2169646,90.0,93.0,86.0
2169647,94.0,89.0,88.0
2169648,75.0,75.0,75.0
2169649,77.0,66.0,65.0
2169650,71.0,88.0,80.0
2169651,62.0,65.0,60.0
2169652,78.0,88.0,90.0
2169653,68.0,54.0,55.0
2169654,85.0,89.0,85.0
2169655,70.0,53.0,62.0
2169656,75.0,84.0,88.0
2169657,64.0,69.0,58.0
2169658,72.0,71.0,71.0
2169659,59.0,61.0,63.0
2169660,62.0,55.0,56.0
2169661,,90.0,
2169662,91.0,84.0,89.0
2169663,50.0,65.0,57.0
2169664,69.0,80.0,80.0
2169665,,69.0,65.0
2169666,100.0,89.0,89.0
2169667,72.0,59.0,54.0
2169668,90.0,85.0,82.0
2169669,52.0,56.0,48.0
2169670,78.0,,81.0
2169671,42.0,38.0,34.0
2169672,45.0,55.0,52.0
2169673,89.0,80.0,79.0
2169674,90.0,,77.0
2169675,42.0,41.0,35.0
2169676,78.0,79.0,72.0
2169677,61.0,56.0,58.0
2169678,60.0,70.0,71.0
2169679,49.0,54.0,49.0
2169680,56.0,68.0,69.0
2169681,65.0,58.0,59.0
2169682,72.0,73.0,73.0
2169683,95.0,100.0,100.0
2169684,51.0,57.0,57.0
2169685,62.0,61.0,57.0
2169686,86.0,84.0,75.0
2169687,44.0,51.0,53.0
2169688,74.0,69.0,75.0
2169689,76.0,84.0,95.0
2169690,64.0,67.0,
2169691,67.0,68.0,65.0
2169692,54.0,54.0,53.0
2169693,44.0,55.0,65.0
2169694,92.0,85.0,91.0
2169695,71.0,61.0,61.0
2169696,76.0,72.0,76.0
2169697,82.0,79.0,82.0
2169698,70.0,84.0,76.0
2169699,72.0,72.0,78.0
2169700,42.0,58.0,64.0
2169701,43.0,53.0,54.0
2169702,51.0,48.0,48.0
2169703,58.0,68.0,66.0
2169704,,100.0,95.0
2169705,68.0,60.0,55.0
2169706,79.0,86.0,91.0
2169707,44.0,67.0,62.0
2169708,71.0,81.0,83.0
2169709,86.0,80.0,81.0
2169710,,81.0,
2169711,77.0,95.0,95.0
2169712,54.0,46.0,59.0
2169713,87.0,86.0,86.0
2169714,55.0,75.0,71.0
2169715,44.0,40.0,37.0
2169716,61.0,76.0,78.0
2169717,68.0,64.0,61.0
2169718,64.0,66.0,67.0
2169719,69.0,84.0,84.0
2169720,44.0,55.0,59.0
2169721,64.0,68.0,69.0
2169722,63.0,70.0,66.0
2169723,58.0,52.0,51.0
2169724,61.0,57.0,66.0
2169725,58.0,59.0,61.0
2169726,51.0,57.0,55.0
2169727,55.0,61.0,50.0
2169728,67.0,73.0,70.0
2169729,35.0,33.0,36.0
2169730,57.0,,55.0
2169731,69.0,65.0,63.0
2169732,83.0,91.0,91.0
2169733,,83.0,77.0
2169734,69.0,76.0,78.0
2169735,69.0,70.0,74.0
2169736,46.0,46.0,43.0
2169737,59.0,48.0,52.0
2169738,63.0,64.0,65.0
2169739,67.0,72.0,78.0
2169740,62.0,74.0,69.0
2169741,85.0,76.0,80.0
2169742,70.0,63.0,63.0
2169743,74.0,72.0,67.0
2169744,74.0,82.0,79.0
2169745,63.0,74.0,75.0
2169746,53.0,63.0,52.0
2169747,67.0,86.0,85.0
2169748,36.0,48.0,51.0
2169749,54.0,57.0,53.0
2169750,75.0,82.0,77.0
2169751,57.0,54.0,60.0
2169752,62.0,65.0,67.0
2169753,56.0,68.0,65.0
2169754,,74.0,75.0
2169755,54.0,65.0,61.0
2169756,59.0,50.0,50.0
2169757,67.0,61.0,59.0
2169758,52.0,66.0,65.0
2169759,82.0,,71.0
2169760,93.0,93.0,95.0
2169761,99.0,91.0,90.0
2169762,92.0,83.0,89.0
2169763,84.0,65.0,67.0
2169764,82.0,100.0,96.0
2169765,78.0,85.0,77.0
2169766,67.0,64.0,72.0
2169767,47.0,47.0,46.0
2169768,85.0,68.0,74.0
2169769,59.0,65.0,64.0
2169770,74.0,74.0,77.0
2169771,91.0,100.0,100.0
2169772,86.0,75.0,71.0
2169773,82.0,82.0,76.0
2169774,60.0,71.0,65.0
2169775,79.0,88.0,86.0
2169776,64.0,67.0,67.0
2169777,56.0,52.0,48.0
2169778,55.0,60.0,65.0
2169779,44.0,59.0,51.0
2169780,80.0,98.0,100.0
2169781,75.0,84.0,84.0
2169782,56.0,71.0,66.0
2169783,46.0,39.0,40.0
2169784,82.0,,90.0
2169785,62.0,51.0,46.0
2169786,57.0,,72.0
2169787,83.0,76.0,68.0
2169788,85.0,88.0,90.0
2169789,87.0,91.0,86.0
2169790,48.0,38.0,40.0
2169791,100.0,100.0,100.0
2169792,64.0,54.0,58.0
2169793,79.0,82.0,80.0
2169794,55.0,55.0,51.0
2169795,46.0,61.0,58.0
2169796,52.0,47.0,56.0
2169797,68.0,68.0,68.0
2169798,67.0,60.0,63.0
2169799,62.0,56.0,58.0
2169800,73.0,62.0,60.0
2169801,47.0,51.0,58.0
2169802,54.0,63.0,56.0
2169803,95.0,95.0,94.0
2169804,64.0,54.0,61.0
2169805,51.0,50.0,47.0
2169806,,76.0,76.0
2169807,53.0,68.0,60.0
2169808,67.0,65.0,61.0
2169809,,57.0,67.0
2169810,64.0,59.0,59.0
2169811,64.0,62.0,53.0
2169812,75.0,91.0,93.0
2169813,91.0,90.0,88.0
2169814,56.0,60.0,65.0
2169815,73.0,63.0,64.0
2169816,36.0,29.0,29.0
2169817,58.0,56.0,57.0
2169818,,86.0,79.0
2169819,69.0,86.0,83.0
2169820,72.0,73.0,79.0
2169821,84.0,76.0,73.0
2169822,80.0,88.0,89.0
2169823,24.0,25.0,17.0
2169824,62.0,57.0,55.0
2169825,66.0,78.0,80.0
2169826,62.0,67.0,71.0
2169827,63.0,57.0,57.0
2169828,91.0,76.0,75.0
2169829,82.0,74.0,79.0
2169830,44.0,56.0,
2169831,43.0,48.0,58.0
2169832,76.0,82.0,82.0
2169833,61.0,63.0,63.0
2169834,39.0,49.0,56.0
2169835,74.0,85.0,91.0
2169836,68.0,76.0,69.0
2169837,85.0,89.0,86.0
2169838,60.0,69.0,68.0
2169839,84.0,79.0,73.0
2169840,67.0,78.0,77.0
2169841,88.0,70.0,74.0
2169842,77.0,91.0,91.0
2169843,,90.0,83.0
2169844,50.0,47.0,36.0
2169845,87.0,78.0,65.0
2169846,52.0,57.0,50.0
2169847,62.0,69.0,
2169848,86.0,80.0,80.0
2169849,,58.0,55.0
2169850,65.0,63.0,69.0
2169851,78.0,82.0,85.0
2169852,92.0,91.0,94.0
2169853,45.0,56.0,57.0
2169854,62.0,66.0,64.0
2169855,57.0,71.0,
2169856,80.0,92.0,87.0
2169857,66.0,73.0,72.0
2169858,61.0,72.0,71.0
2169859,53.0,61.0,51.0
2169860,70.0,73.0,71.0
2169861,97.0,100.0,100.0
2169862,65.0,61.0,58.0
2169863,62.0,53.0,50.0
2169864,80.0,96.0,100.0
2169865,61.0,64.0,60.0
2169866,72.0,76.0,72.0
2169867,53.0,56.0,56.0
2169868,72.0,62.0,58.0
2169869,68.0,75.0,75.0
2169870,53.0,35.0,38.0
2169871,47.0,50.0,52.0
2169872,55.0,59.0,
2169873,59.0,64.0,63.0
2169874,62.0,59.0,60.0
2169875,64.0,70.0,66.0
2169876,65.0,75.0,71.0
2169877,87.0,77.0,83.0
2169878,50.0,59.0,60.0
2169879,65.0,79.0,74.0
2169880,76.0,84.0,83.0
2169881,19.0,36.0,32.0
2169882,49.0,56.0,48.0
2169883,74.0,87.0,78.0
2169884,65.0,59.0,64.0
2169885,90.0,81.0,86.0
2169886,72.0,68.0,66.0
2169887,60.0,60.0,56.0
2169888,74.0,71.0,70.0
2169889,65.0,64.0,61.0
2169890,71.0,81.0,76.0
2169891,94.0,100.0,96.0
2169892,28.0,29.0,20.0
2169893,93.0,83.0,90.0
2169894,60.0,55.0,51.0
2169895,71.0,48.0,46.0
2169896,71.0,70.0,66.0
2169897,80.0,80.0,76.0
2169898,62.0,52.0,52.0
2169899,67.0,75.0,82.0
2169900,85.0,100.0,99.0
2169901,67.0,65.0,69.0
2169902,82.0,75.0,81.0
2169903,69.0,79.0,81.0
2169904,95.0,100.0,100.0
2169905,57.0,72.0,71.0
2169906,57.0,56.0,51.0
2169907,51.0,51.0,44.0
2169908,79.0,85.0,90.0
2169909,76.0,73.0,79.0
2169910,84.0,79.0,81.0
2169911,65.0,77.0,73.0
2169912,25.0,25.0,23.0
2169913,47.0,71.0,
2169914,61.0,56.0,55.0
2169915,45.0,51.0,46.0
2169916,59.0,53.0,58.0
2169917,79.0,89.0,83.0
2169918,,65.0,62.0
2169919,68.0,77.0,81.0
2169920,91.0,82.0,86.0
2169921,82.0,90.0,86.0
2169922,66.0,70.0,69.0
2169923,66.0,79.0,75.0
2169924,62.0,75.0,68.0
2169925,51.0,48.0,42.0
2169926,53.0,75.0,74.0
2169927,53.0,69.0,68.0
2169928,65.0,80.0,80.0
2169929,70.0,70.0,69.0
2169930,,65.0,60.0
2169931,65.0,76.0,69.0
2169932,83.0,79.0,73.0
2169933,100.0,96.0,100.0
2169934,62.0,79.0,73.0
2169935,38.0,41.0,36.0
2169936,63.0,56.0,61.0
2169937,61.0,78.0,74.0
2169938,75.0,90.0,87.0
2169939,61.0,60.0,56.0
2169940,65.0,83.0,77.0
2169941,64.0,68.0,60.0
2169942,56.0,64.0,
2169943,78.0,69.0,63.0
2169944,,33.0,27.0
2169945,76.0,94.0,92.0
