Id,Maths,History,Geograpgy
1961891,74.0,9.0,98.0
1961892,81.0,10.0,13.0
1961893,83.0,32.0,48.0
1961894,87.0,3.0,77.0
1961895,28.0,82.0,77.0
1961896,56.0,41.0,15.0
1961897,53.0,52.0,39.0
1961898,56.0,0.0,53.0
1961899,44.0,20.0,15.0
1961900,78.0,29.0,37.0
1961901,4.0,55.0,54.0
1961902,,15.0,72.0
1961903,62.0,8.0,86.0
1961904,93.0,,
1961905,57.0,1.0,68.0
1961906,45.0,60.0,62.0
1961907,89.0,26.0,70.0
1961908,,62.0,24.0
1961909,64.0,66.0,36.0
1961910,27.0,73.0,25.0
1961911,71.0,15.0,30.0
1961912,26.0,21.0,89.0
1961913,69.0,0.0,38.0
1961914,20.0,98.0,89.0
1961915,25.0,49.0,78.0
1961916,70.0,82.0,80.0
1961917,38.0,84.0,6.0
1961918,21.0,1.0,3.0
1961919,82.0,58.0,67.0
1961920,9.0,42.0,73.0
1961921,33.0,33.0,90.0
1961922,52.0,7.0,18.0
1961923,18.0,10.0,38.0
1961924,86.0,8.0,13.0
1961925,63.0,91.0,16.0
1961926,66.0,88.0,26.0
1961927,80.0,6.0,78.0
1961928,66.0,51.0,35.0
1961929,64.0,14.0,59.0
1961930,10.0,44.0,18.0
1961931,71.0,57.0,28.0
1961932,27.0,38.0,84.0
1961933,0.0,56.0,2.0
1961934,66.0,98.0,85.0
1961935,38.0,17.0,58.0
1961936,79.0,75.0,49.0
1961937,88.0,69.0,72.0
1961938,33.0,74.0,41.0
1961939,80.0,15.0,78.0
1961940,68.0,23.0,50.0
1961941,83.0,59.0,52.0
1961942,98.0,16.0,44.0
1961943,22.0,39.0,1.0
1961944,26.0,4.0,74.0
1961945,91.0,21.0,91.0
1961946,43.0,57.0,81.0
1961947,53.0,25.0,95.0
1961948,36.0,67.0,41.0
1961949,41.0,89.0,64.0
1961950,92.0,69.0,16.0
1961951,86.0,91.0,2.0
1961952,55.0,26.0,93.0
1961953,39.0,31.0,41.0
1961954,67.0,92.0,57.0
1961955,5.0,89.0,91.0
1961956,10.0,39.0,8.0
1961957,81.0,1.0,72.0
1961958,93.0,71.0,77.0
1961959,78.0,48.0,8.0
1961960,37.0,7.0,38.0
1961961,81.0,73.0,41.0
1961962,17.0,35.0,24.0
1961963,16.0,63.0,42.0
1961964,78.0,66.0,5.0
1961965,69.0,49.0,8.0
1961966,14.0,40.0,42.0
1961967,17.0,58.0,96.0
1961968,46.0,39.0,12.0
1961969,58.0,56.0,99.0
1961970,12.0,28.0,94.0
1961971,73.0,10.0,36.0
1961972,51.0,15.0,78.0
1961973,96.0,54.0,36.0
1961974,95.0,60.0,24.0
1961975,23.0,36.0,37.0
1961976,10.0,3.0,82.0
1961977,31.0,48.0,81.0
1961978,97.0,73.0,8.0
1961979,12.0,70.0,84.0
1961980,,1.0,4.0
1961981,64.0,69.0,75.0
1961982,63.0,69.0,96.0
1961983,93.0,93.0,44.0
1961984,39.0,56.0,73.0
1961985,74.0,54.0,46.0
1961986,84.0,87.0,16.0
1961987,91.0,65.0,59.0
1961988,60.0,32.0,27.0
1961989,87.0,65.0,23.0
1961990,3.0,46.0,26.0
1961991,14.0,16.0,6.0
1961992,61.0,40.0,
1961993,68.0,82.0,89.0
1961994,90.0,71.0,36.0
1961995,84.0,13.0,35.0
1961996,58.0,13.0,13.0
1961997,87.0,51.0,68.0
1961998,,11.0,78.0
1961999,42.0,84.0,52.0
1962000,33.0,79.0,91.0
