Id,aluminium,ammonia,arsenic,barium
2247,4.81,23.37,0.62,3.73
2248,3.47,19.62,0.33,1.81
2249,1.96,20.59,0.3,4.06
2250,3.84,5.35,0.54,3.57
2251,0.11,1.95,0.36,2.93
2252,1.77,16.33,0.83,1.09
2253,0.65,24.11,0.68,2.74
2254,4.6,29.04,0.6,4.04
2255,3.49,12.38,0.13,3.22
2256,2.3,6.61,0.43,1.85
2257,0.72,6.12,0.89,1.8
2258,4.55,17.78,0.08,2.93
2259,0.78,16.88,0.21,2.12
2260,4.32,17.55,0.48,3.28
2261,2.21,14.63,0.61,2.78
2262,3.52,6.02,0.43,1.17
2263,1.62,23.14,0.21,3.46
2264,2.71,0.91,0.46,2.68
2265,4.92,26.16,0.3,1.06
2266,3.93,10.56,0.72,3.87
2267,0.39,16.72,0.94,2.76
2268,0.07,19.23,0.66,2.06
2269,0.98,15.07,0.89,0.83
2270,1.67,23.18,0.66,3.48
2271,4.84,21.94,0.79,1.97
2272,4.12,22.38,0.2,2.44
2273,3.72,27.79,0.38,3.88
2274,2.79,16.59,0.8,1.94
2275,2.41,18.61,0.61,0.71
2276,3.62,25.18,0.89,1.68
2277,2.77,2.12,0.11,3.72
2278,3.59,28.47,0.7,1.6
2279,2.07,24.79,0.21,3.21
2280,0.57,0.3,0.29,2.16
2281,2.51,9.8,0.34,1.35
2282,0.23,21.02,0.7,1.3
2283,2.55,9.39,0.9,3.83
2284,2.41,13.57,0.56,3.2
2285,0.4,24.73,0.34,3.77
2286,2.53,3.8,0.72,3.48
2287,0.73,28.19,0.94,3.87
2288,3.54,16.99,,2.54
2289,3.77,,0.28,1.71
2290,4.16,19.75,0.34,2.88
2291,4.81,20.5,0.77,2.07
2292,,-0.01,1.01,3.57
2293,4.62,17.24,0.41,2.85
2294,0.96,7.99,0.84,1.53
2295,3.69,2.23,0.13,1.75
2296,0.47,17.49,0.89,2.86
2297,1.12,22.73,0.04,2.21
2298,4.37,4.83,0.39,0.86
2299,4.45,26.99,0.11,2.32
2300,0.49,1.74,0.87,0.49
2301,4.67,20.36,0.65,0.88
2302,3.55,2.26,0.48,2.72
2303,0.8,4.51,0.46,1.52
2304,1.76,8.01,0.42,1.57
2305,3.31,22.13,0.3,2.84
2306,2.81,9.15,0.34,0.99
2307,0.8,10.78,0.71,3.23
2308,4.6,10.59,0.47,3.75
2309,1.17,24.27,0.24,0.99
2310,3.47,25.4,0.63,3.47
2311,1.04,14.41,0.71,2.95
2312,3.76,6.42,0.57,0.48
2313,3.61,21.65,0.24,1.32
2314,1.55,9.81,0.07,3.58
2315,0.61,27.83,0.55,4.49
2316,1.1,18.57,0.5,2.95
2317,5.01,5.28,0.42,4.67
2318,0.27,18.43,0.15,2.63
2319,2.58,20.01,0.64,2.77
2320,1.9,26.84,0.94,2.85
2321,3.33,24.02,0.46,3.83
2322,3.97,0.43,0.45,4.59
2323,4.24,0.58,0.83,1.75
2324,2.8,3.72,0.16,2.12
2325,2.87,10.01,0.96,1.27
2326,,20.01,0.59,1.34
2327,1.39,12.17,0.15,1.72
2328,3.82,17.15,0.81,3.73
2329,0.65,27.08,0.58,3.46
2330,3.5,24.52,0.98,2.4
2331,2.63,12.53,0.49,3.03
2332,4.25,,0.96,3.72
2333,,6.42,0.92,4.4
2334,2.77,26.57,0.53,0.83
2335,4.74,7.94,0.85,2.89
2336,3.56,0.8,0.57,1.0
2337,3.78,6.49,0.68,2.41
2338,2.22,21.94,0.98,4.75
2339,0.45,10.01,0.12,0.72
2340,0.41,11.01,0.96,2.16
2341,3.73,14.36,0.9,3.6
2342,4.95,10.96,0.4,4.29
2343,3.67,2.21,0.19,4.22
2344,0.2,2.51,0.33,2.64
2345,2.15,3.63,0.91,3.5
2346,0.81,25.12,0.17,3.14
2347,1.39,14.68,0.45,1.6
2348,1.79,3.24,0.73,0.95
2349,0.88,14.49,1.02,3.09
2350,3.73,10.56,0.59,4.37
2351,3.92,15.62,0.85,3.86
2352,0.98,20.67,0.21,3.73
2353,1.37,3.81,0.63,3.66
2354,2.59,9.82,0.53,1.8
2355,0.05,22.81,0.77,1.4
2356,0.21,11.02,,1.67
2357,1.1,24.83,0.68,4.03
2358,0.79,14.03,0.39,1.6
2359,4.98,24.62,0.62,3.84
2360,3.62,28.71,0.36,2.06
2361,4.44,1.03,0.18,2.42
2362,2.64,11.29,0.88,3.48
2363,0.52,28.28,0.66,
2364,4.75,18.54,0.61,3.35
2365,0.44,23.44,0.42,2.87
2366,1.18,12.17,0.02,1.9
2367,3.83,21.94,0.96,2.16
2368,0.33,9.77,0.48,3.66
2369,4.45,12.08,0.42,1.16
2370,4.5,7.38,0.81,1.03
2371,0.32,9.64,0.32,3.95
2372,1.53,0.25,0.96,2.85
2373,0.85,3.46,0.47,2.94
2374,3.64,22.9,0.58,1.98
2375,1.04,28.85,1.05,2.37
2376,1.74,7.08,0.7,1.26
2377,0.84,22.29,0.84,2.1
2378,4.56,11.54,0.59,3.89
2379,2.15,8.12,0.94,2.92
2380,3.46,13.95,0.42,3.11
2381,4.96,17.22,0.29,1.5
2382,1.13,23.77,0.32,2.87
2383,2.89,14.74,0.88,2.39
2384,2.74,28.97,0.95,2.34
2385,3.99,,0.97,3.1
2386,2.75,29.32,0.37,
2387,4.16,0.83,0.89,3.63
2388,0.1,23.89,0.56,1.09
2389,2.77,26.71,0.05,0.48
2390,4.62,18.07,0.31,2.62
2391,2.04,28.64,1.01,3.64
2392,0.33,15.55,0.07,4.22
2393,1.19,9.56,0.62,2.4
2394,4.49,25.9,1.0,0.5
2395,3.88,15.34,0.22,2.22
2396,2.52,28.4,0.39,4.07
2397,2.31,26.91,0.77,4.33
2398,4.38,25.39,1.0,2.53
2399,4.98,8.26,0.38,0.45
2400,0.05,21.53,0.94,2.98
2401,0.16,9.08,0.04,2.85
2402,0.02,,0.01,3.31
2403,0.06,14.02,0.04,0.58
2404,0.02,11.33,0.04,2.96
2405,0.09,24.33,0.03,0.2
2406,0.11,14.47,0.03,2.88
2407,0.19,,0.01,1.35
2408,0.01,19.87,0.04,0.66
2409,0.09,24.58,0.01,0.71
2410,0.03,16.76,0.02,1.37
2411,0.01,3.6,0.001,2.69
2412,0.1,21.96,0.04,0.84
2413,0.2,19.26,0.02,2.78
2414,0.06,23.98,0.04,3.05
2415,0.01,18.82,0.05,3.77
2416,0.01,2.41,0.03,0.59
2417,0.09,15.84,0.02,0.06
2418,0.39,17.03,0.02,0.88
2419,0.1,26.94,0.02,0.36
2420,0.07,17.99,0.02,3.43
2421,0.1,18.99,0.001,0.04
2422,0.0,8.12,0.02,0.97
2423,0.09,10.67,0.02,0.55
2424,0.03,20.64,0.03,2.6
2425,0.13,27.05,0.01,0.68
2426,0.07,22.07,0.03,0.46
2427,0.15,6.81,0.01,0.85
2428,0.01,2.4,0.001,2.8
2429,0.11,15.14,0.03,1.76
2430,0.05,25.84,0.01,3.04
2431,0.1,22.8,0.001,2.01
2432,0.13,6.1,0.05,3.74
2433,0.02,26.19,0.04,3.02
2434,0.07,15.75,0.03,2.54
2435,0.12,29.29,0.001,2.93
2436,0.1,4.07,0.05,1.87
2437,0.29,23.19,0.03,2.69
2438,0.13,26.85,0.02,0.88
2439,0.06,13.08,0.04,1.58
2440,0.08,19.9,0.03,2.67
2441,0.3,9.49,0.05,3.63
2442,0.0,22.32,0.01,0.55
2443,0.22,1.07,0.04,1.86
2444,0.08,28.19,0.001,0.25
2445,0.01,13.74,0.02,0.52
2446,0.06,0.14,0.02,0.06
2447,0.04,28.84,0.01,2.16
2448,0.02,10.83,0.01,3.94
2449,0.05,9.02,0.04,3.98
2450,0.08,0.44,0.001,2.5
2451,0.04,23.16,0.001,3.5
2452,0.07,20.81,0.04,2.8
2453,0.13,18.64,0.04,
2454,0.02,10.15,0.04,1.98
2455,0.21,8.63,0.04,1.07
2456,0.06,3.53,0.03,2.79
2457,0.1,21.24,0.05,3.86
2458,0.08,3.22,0.01,0.65
2459,0.07,12.4,0.05,3.45
2460,0.06,2.21,0.001,3.53
2461,0.13,29.19,0.02,
2462,0.05,13.59,0.01,0.84
2463,0.1,3.14,0.02,0.22
2464,0.28,3.82,0.001,0.58
2465,0.02,21.08,0.01,3.74
2466,0.07,19.96,0.03,3.02
2467,0.01,12.28,0.02,2.16
2468,0.34,22.33,0.02,2.27
2469,0.0,8.7,0.04,3.11
2470,0.1,10.59,0.01,0.57
2471,0.28,8.83,0.05,2.24
2472,0.01,13.84,0.01,3.92
2473,0.08,28.55,0.02,1.67
2474,0.01,18.97,0.04,1.47
2475,0.29,19.42,0.02,1.78
2476,0.01,8.17,0.001,3.76
2477,0.08,16.66,0.001,2.93
2478,0.18,14.14,0.02,2.86
2479,0.05,27.89,0.02,3.25
2480,0.01,18.79,,0.07
2481,0.04,14.79,0.04,3.08
2482,0.03,9.33,0.04,1.28
2483,0.07,28.29,0.01,0.88
2484,0.02,25.95,0.01,0.75
2485,0.07,10.38,0.05,0.17
2486,0.07,22.51,0.04,2.97
2487,0.14,9.32,0.03,2.99
2488,0.02,15.62,0.02,3.18
2489,0.08,15.42,0.05,1.38
2490,0.17,17.69,0.04,1.87
2491,0.07,21.84,0.03,3.45
2492,0.0,,0.01,1.36
2493,0.11,2.84,0.01,3.54
2494,0.16,22.84,0.01,2.09
2495,0.1,4.15,0.02,
2496,0.17,13.55,0.03,3.28
2497,0.13,19.11,0.02,1.74
2498,0.05,23.02,0.03,2.24
2499,0.09,13.18,0.02,2.44
2500,0.22,11.12,0.04,0.92
2501,0.03,9.19,0.05,0.65
2502,0.05,29.68,0.03,2.86
2503,0.08,18.02,0.04,0.13
2504,0.35,20.06,,2.73
2505,0.02,11.92,0.05,3.2
2506,0.07,26.77,0.02,0.29
2507,0.1,6.54,0.01,1.46
2508,0.01,9.61,0.02,1.32
2509,0.02,12.26,0.04,3.61
2510,0.07,0.27,0.04,0.16
2511,0.05,14.81,0.02,3.84
2512,0.09,16.6,0.03,2.36
2513,0.0,10.25,0.03,1.5
2514,0.34,2.07,0.04,2.46
2515,0.27,19.07,0.001,1.99
2516,0.08,19.17,0.05,0.76
2517,0.04,9.2,0.01,1.74
2518,0.35,5.19,0.02,2.66
2519,0.13,16.35,0.03,2.9
2520,0.01,2.01,0.001,1.6
2521,0.29,5.43,0.04,2.34
2522,0.06,22.29,0.05,1.87
2523,0.15,29.72,0.02,1.4
2524,0.03,25.2,0.04,1.01
2525,0.1,19.73,0.03,1.11
2526,0.05,23.18,0.04,3.65
2527,0.06,23.58,0.001,0.57
2528,0.12,23.37,0.05,1.65
2529,0.02,17.84,0.01,3.94
2530,0.05,10.36,0.01,3.29
2531,0.09,1.36,0.04,3.45
2532,0.18,26.04,0.03,1.94
2533,0.01,21.58,0.04,2.9
2534,0.01,1.36,0.01,3.2
2535,0.07,13.59,0.03,3.16
2536,0.1,19.49,0.04,1.36
2537,0.05,27.47,0.01,1.8
2538,0.1,9.79,0.001,1.6
2539,0.07,17.13,0.01,2.63
2540,0.06,11.66,0.04,0.86
2541,0.0,11.02,0.01,3.64
2542,0.02,5.66,0.001,0.87
2543,0.14,4.08,0.04,0.57
2544,0.05,16.05,0.01,0.29
2545,0.08,14.96,0.01,0.17
2546,0.21,27.52,0.01,3.15
2547,0.02,29.27,0.05,1.03
2548,0.08,1.34,0.02,1.82
2549,0.13,9.34,0.04,1.39
2550,0.08,14.48,0.02,1.14
2551,0.08,5.48,0.05,3.58
2552,0.08,23.24,0.03,3.35
2553,0.31,26.12,0.03,3.57
2554,0.05,20.65,0.02,2.69
2555,0.26,18.41,0.05,2.36
2556,0.17,16.77,0.03,1.81
2557,0.01,12.46,0.05,2.01
2558,0.07,23.41,0.02,1.63
2559,0.05,19.29,0.03,0.56
2560,0.25,28.08,0.02,3.93
2561,0.02,14.44,0.02,1.72
2562,0.14,4.63,0.04,1.31
2563,0.34,4,0.02,0.28
2564,0.07,2.03,0.01,3.09
2565,0.01,8.76,0.01,1.93
2566,0.01,17.66,0.01,0.12
2567,0.06,5.8,0.001,1.99
2568,0.09,19.45,0.05,
2569,0.02,18.17,0.03,3.33
2570,0.09,21.76,0.01,2.53
2571,0.14,16.01,0.01,2.57
2572,0.09,1.66,0.05,2.79
2573,0.28,6.47,0.02,0.78
2574,0.14,1.86,0.04,1.84
2575,0.06,25.59,0.02,3.03
2576,0.09,8.13,0.02,3.51
2577,0.07,26.64,0.001,0.19
2578,0.03,20.38,,3.53
2579,0.27,9.92,0.01,1.98
2580,0.09,28.24,0.01,0.78
2581,0.03,20.19,0.04,3.34
2582,0.09,10.16,0.01,2.91
2583,0.0,2.15,0.03,1.99
2584,0.04,28.59,0.03,2.16
2585,0.03,21.68,0.03,3.04
2586,0.03,8.71,0.04,3.48
2587,0.25,19.6,0.03,2.01
2588,0.03,8.62,0.04,0.33
2589,0.07,2.34,0.03,2.39
2590,0.21,22.21,0.02,2.07
2591,0.04,18.93,0.01,2.22
2592,0.28,,0.04,1.18
2593,0.06,18.04,0.01,0.69
2594,0.08,23.51,0.04,0.82
2595,0.05,24.07,0.05,2.76
2596,0.15,15.61,0.02,2.15
2597,0.04,12.48,0.001,2.99
2598,0.06,23.76,0.03,0.76
2599,0.03,13.34,0.01,2.13
2600,0.07,22.36,0.04,2.93
2601,0.01,11.64,0.03,2.56
2602,0.05,25.9,0.01,2.56
2603,0.08,21.3,0.001,0.33
2604,0.03,25.13,0.03,1.05
2605,0.1,12.32,0.02,3.93
2606,0.03,14.3,0.02,1.92
2607,0.1,25.07,0.001,3.33
2608,0.03,28.82,0.03,0.7
2609,0.01,25.24,0.02,0.48
2610,0.02,4.3,0.05,3.06
2611,0.1,28.24,0.04,3.57
2612,0.25,24.86,0.03,0.62
2613,0.24,0.38,0.001,3.34
2614,0.09,8.21,0.001,3.35
2615,0.04,0.28,0.02,1.71
2616,0.07,23.74,0.02,2.64
2617,0.13,29.8,0.03,1.88
2618,0.15,14.1,0.01,2.39
2619,0.09,27.54,0.001,1.19
2620,0.07,9.72,0.05,3.29
2621,0.05,2.97,0.01,1.35
2622,0.22,6.92,0.03,1.13
2623,0.25,0.98,0.02,1.62
2624,0.0,8.24,0.03,1.92
2625,0.08,15.18,0.03,2.54
2626,0.02,8.71,0.05,2.46
2627,0.2,16.65,0.03,2.57
2628,0.29,17.82,0.01,2.9
2629,0.0,22.43,0.03,0.89
2630,0.09,2.8,0.03,1.89
2631,0.09,1.5,0.001,3.69
2632,0.02,22.13,0.03,2.0
2633,0.04,7.34,0.01,0.47
2634,0.07,13.72,0.04,1.28
2635,0.05,2.2,0.02,2.28
2636,0.09,5.43,,3.14
2637,0.05,10.11,0.01,1.41
2638,0.01,27.65,0.001,2.34
2639,0.06,25.58,0.02,3.04
2640,0.36,20.28,0.05,3.52
2641,0.02,21.13,0.02,3.2
2642,0.24,10.47,0.01,3.83
2643,0.04,11.84,0.05,2.74
2644,0.02,9.9,0.04,1.4
2645,0.03,18.48,0.03,2.17
2646,0.01,6.54,0.04,1.91
2647,0.13,24.6,0.01,3.73
2648,0.03,5.79,0.001,0.62
2649,0.35,0.65,0.04,0.7
2650,0.03,9.84,0.02,1.53
2651,0.11,22.35,0.04,1.33
2652,0.01,25.46,0.04,1.37
2653,0.18,12.12,0.04,1.81
2654,0.1,12.66,0.04,0.48
2655,0.09,27.45,0.03,0.74
2656,0.0,7.89,0.04,2.47
2657,0.05,7.87,0.02,0.23
2658,0.24,22.69,0.04,3.61
2659,0.03,7.96,0.01,1.22
2660,0.02,9.63,0.02,1.95
2661,0.01,25.51,0.04,0.07
2662,0.17,3.98,0.01,2.8
2663,0.11,25.53,0.02,0.25
2664,0.08,28.85,0.01,0.96
2665,0.09,22.74,0.02,0.01
2666,0.08,2.1,0.05,2.69
2667,0.07,3.2,0.04,0.73
2668,0.15,12.22,0.04,1.81
2669,0.19,10.37,0.01,2.38
2670,0.02,2.09,0.01,3.89
2671,0.08,26.15,0.02,2.3
2672,0.14,28.42,0.03,3.01
2673,0.17,4.69,0.04,0.17
2674,0.17,4.82,0.05,0.46
2675,0.07,2.58,0.03,0.51
2676,,23.19,0.01,0.37
2677,0.19,1.53,0.01,1.11
2678,0.04,13.81,0.03,0.68
2679,0.01,15.67,0.01,2.19
2680,0.06,26.41,0.01,0.39
2681,0.08,8.07,0.04,1.37
2682,0.09,,0.01,1.07
2683,0.08,7.23,0.03,1.46
2684,0.02,2.59,0.04,3.81
2685,0.14,25.93,0.04,3.16
2686,0.04,18.82,0.05,0.77
2687,0.12,12.25,0.001,1.81
2688,0.08,24.23,0.03,3.38
2689,0.23,1.72,0.04,2.83
2690,0.2,11.18,0.01,0.52
2691,0.3,6.44,0.001,3.07
2692,0.07,9.69,0.03,3.68
2693,0.01,5.52,0.03,1.68
2694,0.04,1.05,0.01,2.28
2695,0.09,10.91,0.001,1.68
2696,0.12,5.36,0.03,3.48
2697,0.05,9.66,0.02,2.27
2698,0.34,5.1,0.02,1.79
2699,0.0,3.82,0.04,0.58
2700,0.06,11.11,0.001,2.17
2701,0.02,26.96,0.02,3.67
2702,0.08,0.47,0.03,1.69
2703,0.25,2.5,0.03,3.15
2704,0.06,8.4,0.001,
2705,0.02,,,3.4
2706,0.06,3.07,0.03,2.83
2707,0.27,28.71,,1.12
2708,,19.64,0.04,3.8
2709,0.17,10.27,0.05,3.01
2710,0.08,14.44,0.001,0.16
2711,0.06,24.1,0.05,2.89
2712,0.09,23.69,0.04,3.79
2713,0.05,24.44,0.03,1.08
2714,0.28,28.18,0.04,0.26
2715,0.16,18.23,0.001,0.85
2716,0.06,7.2,0.04,3.95
2717,0.07,16.83,0.03,3.51
2718,0.23,8.81,0.05,2.42
2719,0.01,11.85,0.05,1.97
2720,0.04,4.74,0.02,3.51
2721,0.11,21.4,0.05,0.81
2722,0.04,5.71,0.01,0.8
2723,0.07,25.94,0.02,1.19
2724,0.23,22.25,0.01,3.52
2725,0.03,22.55,0.02,3.85
2726,0.05,19.31,0.001,0.47
2727,0.14,9.92,0.02,2.78
2728,0.1,11.86,0.03,2.65
2729,0.08,11.63,0.02,0.87
2730,0.24,13.81,0.01,0.43
2731,0.02,,0.01,1.67
2732,0.01,16.14,0.04,0.53
2733,0.07,9.54,0.04,1.72
2734,0.06,24.03,0.01,3.0
2735,0.1,20.46,0.02,3.79
2736,0.12,14.13,0.04,3.88
2737,0.26,23.88,0.04,3.74
2738,0.01,23.34,0.04,3.39
2739,0.07,1.34,0.02,1.99
2740,0.05,7.26,0.04,0.22
2741,0.03,28.89,0.03,2.45
2742,0.02,6.54,0.01,3.69
2743,0.16,17.55,0.04,0.69
2744,0.08,16.32,0.02,0.9
2745,0.05,21.99,0.04,2.2
2746,0.15,23.71,0.05,1.64
2747,0.03,17.28,0.03,3.21
2748,0.15,28.46,0.01,2.88
2749,0.05,4.78,0.01,1.82
2750,0.01,26.86,0.01,0.7
2751,0.05,11.62,0.03,1.31
2752,0.09,28.92,0.03,1.25
2753,0.06,10.36,0.001,2.47
2754,0.09,7.7,0.05,0.57
2755,0.06,9.47,0.01,3.49
2756,0.01,18.12,0.03,3.98
2757,0.07,11.14,0.02,0.38
2758,0.01,29.54,0.02,2.5
2759,0.1,2.07,0.02,3.01
2760,0.06,28.93,0.03,2.84
2761,0.05,26.22,0.03,2.86
2762,0.03,27.94,0.02,2.75
2763,0.08,6.58,0.01,3.38
2764,0.07,13.55,0.02,2.78
2765,0.06,12.49,0.02,2.73
2766,0.03,5.76,0.01,3.94
2767,0.13,27.39,0.01,3.65
2768,0.12,1.88,0.03,1.92
2769,0.08,5.65,0.02,3.4
2770,0.02,12.69,0.05,3.75
2771,0.06,19.59,0.04,0.79
2772,0.1,,0.02,1.82
2773,0.04,4.57,0.04,2.4
2774,0.06,27.03,0.01,1.17
2775,0.24,26.65,0.001,0.79
2776,0.2,23.74,0.04,0.74
2777,0.39,2.81,0.01,2.72
2778,0.02,26.21,0.04,0.56
2779,0.18,6.31,0.05,2.91
2780,0.24,19.25,0.05,3.55
2781,0.35,0.27,0.01,1.17
2782,0.07,26.4,0.05,3.28
2783,0.35,20.45,0.04,0.14
2784,,24.92,0.001,0.6
2785,0.06,14,0.03,0.59
2786,0.02,8.38,0.01,2.2
2787,0.05,28.55,0.03,3.2
2788,0.2,2.6,0.03,1.75
2789,0.05,1.94,0.04,0.31
2790,0.08,28.8,0.01,3.09
2791,0.02,15.94,0.04,1.91
2792,0.01,3.58,0.03,2.35
2793,0.06,16.45,0.03,3.01
2794,0.05,23.15,0.01,3.68
2795,0.05,,0.04,3.22
2796,0.08,21.15,0.001,3.33
2797,0.07,27.86,0.03,3.65
2798,0.01,7.55,0.04,1.53
2799,0.03,22.3,0.04,3.72
2800,0.06,22.34,0.04,0.23
2801,0.09,18.1,0.01,0.12
2802,0.11,27.3,0.04,0.64
2803,0.21,12.24,0.04,0.73
2804,0.07,3.7,0.05,1.81
2805,0.09,12.25,0.02,1.63
2806,0.11,2.63,0.04,2.6
2807,0.01,2.57,0.02,3.63
2808,0.18,16.78,0.001,1.4
2809,0.03,13.2,0.04,3.08
2810,0.0,14.25,0.02,1.53
2811,0.1,29.23,0.04,2.76
2812,0.15,4.06,0.04,0.57
2813,0.09,16.22,0.02,1.21
2814,0.05,0.8,0.04,1.77
2815,0.03,5.14,0.04,0.02
2816,0.25,12.65,0.03,3.37
2817,0.14,3.44,0.01,1.81
2818,0.05,14.03,0.02,2.62
2819,0.03,22.26,0.03,1.79
2820,0.01,20.34,0.03,2.31
2821,0.08,23.13,0.04,0.12
2822,0.07,11.79,0.05,3.06
2823,0.11,14.94,0.03,1.69
2824,0.03,7.2,0.001,2.04
2825,0.08,7.74,0.01,3.88
2826,0.03,12.35,0.03,1.92
2827,0.09,6.7,0.02,2.35
2828,0.06,16.71,0.03,1.52
2829,0.1,17.54,0.05,2.42
2830,0.23,10.45,0.04,2.06
2831,0.04,22.56,0.03,3.09
2832,0.02,12.37,0.03,2.52
2833,0.1,20.58,0.001,0.57
2834,0.08,16.16,0.01,3.27
2835,0.0,13.84,0.02,1.33
2836,0.06,16.62,0.02,1.79
2837,0.02,24.98,0.02,3.51
2838,0.2,14.45,0.01,1.09
2839,0.15,26.13,0.01,3.47
2840,0.38,3.92,0.04,1.05
2841,0.08,12.45,0.02,3.01
2842,0.07,24.63,0.01,1.02
2843,0.09,18.44,0.01,0.19
2844,0.09,19.8,0.001,0.96
2845,0.04,28.23,0.04,0.29
2846,0.08,13.96,0.001,3.72
2847,0.08,21.63,0.02,1.87
2848,0.11,14.39,0.001,2.26
2849,0.06,17.86,0.001,0.79
2850,0.17,21.68,0.01,0.42
2851,0.01,13.83,0.05,3.92
2852,0.17,29.47,0.01,2.8
2853,0.23,29.2,0.01,2.96
2854,0.15,10.8,0.05,0.54
2855,0.08,0.59,0.02,3.91
2856,0.04,19.6,0.001,3.09
2857,0.01,15.1,0.01,2.17
2858,0.11,9.31,0.03,2.83
2859,0.39,21.14,0.04,3.72
2860,0.18,16.79,0.05,1.74
2861,0.26,17.55,,0.64
2862,0.1,15.46,0.03,0.54
2863,0.01,21.31,0.03,1.85
2864,0.06,0.13,0.03,1.36
2865,0.06,18.95,0.03,0.59
2866,,25.32,0.03,1.03
2867,0.15,4.36,0.02,0.41
2868,0.03,23.6,0.02,3.32
2869,0.15,3.51,0.01,2.49
2870,0.01,9.74,0.001,1.34
2871,0.05,23.19,0.03,3.74
2872,0.23,7.61,0.01,3.62
2873,0.04,15.44,0.001,0.35
2874,0.05,21.29,0.02,0.25
2875,0.09,0.85,0.03,2.55
2876,0.02,14.49,0.001,0.02
2877,0.09,27.61,0.05,3.51
2878,0.3,1.38,0.03,3.14
2879,0.21,27.08,0.01,2.39
2880,0.0,16.81,0.02,2.4
2881,0.07,24.86,0.001,3.14
2882,0.05,17.63,0.001,0.48
2883,0.26,12.58,0.05,0.73
2884,0.14,21.45,0.04,3.82
2885,0.17,17.35,0.04,0.72
2886,0.06,24.12,0.01,1.1
2887,0.09,21.91,0.04,2.24
2888,0.1,16.88,0.04,0.23
2889,0.17,27.35,0.03,0.96
2890,0.28,0.22,0.001,2.58
2891,0.02,19.39,0.03,3.01
2892,0.07,29.26,0.01,3.19
2893,0.07,0.25,0.02,3.58
2894,0.07,,0.03,2.07
2895,0.09,24.5,0.03,2.7
2896,0.27,7.11,0.04,2.04
2897,0.04,18.23,0.04,0.86
2898,0.21,15.03,0.03,3.4
2899,0.1,29.64,0.03,4.0
2900,0.39,15.16,0.03,3.04
2901,0.22,24.04,0.001,3.74
2902,0.4,26.21,0.04,0.51
2903,0.07,14.38,0.04,
2904,0.03,0.09,0.001,1.03
2905,0.37,29.23,0.02,1.43
2906,0.02,2.83,0.01,0.2
2907,0.1,0.75,0.02,0.71
2908,0.1,23.77,0.02,1.53
2909,0.07,4.48,0.02,1.65
2910,0.01,11.45,0.02,3.95
2911,0.07,,0.04,0.36
2912,0.08,4.24,0.001,1.86
2913,0.14,19.14,0.03,1.08
2914,0.15,24.16,0.04,3.44
2915,0.02,27.71,0.02,1.8
2916,0.01,5.52,0.03,0.8
2917,0.03,28.57,0.02,2.73
2918,0.04,27.81,0.03,3.45
2919,0.02,5.9,0.01,0.77
2920,,20.18,0.03,3.5
2921,0.09,2.66,0.01,1.29
2922,,4.96,0.04,0.72
2923,0.06,27.94,0.02,1.45
2924,0.09,3.15,0.03,1.71
2925,0.03,19.37,0.04,1.56
2926,0.02,16.36,0.04,0.91
2927,0.01,25.66,0.04,
2928,0.07,20.33,0.04,0.72
2929,0.24,17.63,0.03,0.67
2930,0.03,7.02,0.03,2.27
2931,0.0,20.61,0.02,0.86
2932,0.23,7.61,0.02,1.98
2933,0.09,11.43,0.01,1.04
2934,0.05,20.24,0.02,3.93
2935,0.03,29.15,0.001,3.89
2936,0.14,27.55,0.001,3.27
2937,0.05,23.72,0.02,2.09
2938,0.0,23.23,0.04,1.42
2939,0.19,3.54,0.04,0.66
2940,0.11,11.87,0.03,3.96
2941,0.1,25.21,0.01,2.13
2942,0.04,0.26,0.03,3.37
2943,0.01,26.55,0.001,3.08
2944,0.09,18.22,0.001,3.75
2945,0.05,18.61,0.03,1.47
2946,0.05,28.53,0.04,0.59
2947,0.14,7.63,0.04,2.2
2948,0.09,16.92,0.001,0.56
2949,0.07,1.23,0.04,3.9
2950,0.05,5.24,0.03,2.51
2951,0.07,24.24,0.01,2.68
2952,0.07,1.57,0.03,2.06
2953,0.0,0.03,0.01,1.19
2954,0.09,14.52,0.02,0.77
2955,0.29,24,0.03,2.45
2956,0.04,28.9,0.04,1.11
2957,0.02,28.04,0.03,0.42
2958,0.11,14.94,0.01,1.8
2959,0.18,11.49,0.05,3.36
2960,0.08,24.96,0.04,3.0
2961,0.15,5.11,0.001,1.17
2962,0.22,23.05,0.01,2.61
2963,0.03,23.8,0.05,1.04
2964,0.06,18.55,0.01,3.59
2965,0.03,0.51,0.04,2.44
2966,0.02,,0.001,2.26
2967,0.09,22.49,0.04,0.04
2968,0.01,16.76,0.03,1.63
2969,0.04,11.13,0.01,3.25
2970,0.07,0.07,0.03,3.02
2971,0.01,19.74,0.04,2.88
2972,0.01,25.54,0.05,0.34
2973,0.04,20.37,0.001,2.43
2974,0.23,20.41,0.01,3.91
2975,,26.19,0.02,2.93
2976,0.08,27.18,0.03,2.55
2977,0.01,21.76,0.03,1.1
2978,0.27,26.73,0.04,0.27
2979,0.25,22.68,0.01,0.73
2980,0.08,9.62,0.04,3.52
2981,0.07,16.26,0.001,1.96
2982,0.27,3.43,0.04,1.78
2983,0.08,0.12,0.01,1.68
2984,0.02,10.69,0.04,0.63
2985,0.05,1.31,0.02,1.21
2986,0.17,24.84,0.03,2.73
2987,0.1,3.08,0.01,3.28
2988,0.04,7.08,0.04,0.49
