Id,copper,flouride,bacteria,viruses,lead
2451,0.54,1.33,0.05,0.001,0.166
2452,0.44,1.2,0.77,0.77,0.112
2453,1.97,0.59,0.18,0.007,0.169
2454,1.98,0.66,0.06,0.008,0.101
2455,0.65,0.9,0.58,0.58,0.093
2456,1.23,0.75,0.79,0.79,0.025
2457,1.06,0.1,0.84,0.84,0.139
2458,1.08,0.15,0.23,0.007,0.184
2459,0.14,1.01,0.42,0.0,0.015
2460,1.26,0.83,0.77,0.77,0.09
2461,1.34,0.03,0.98,0.98,0.068
2462,1.69,1.47,0.05,0.008,0.123
2463,1.75,1.28,0.23,0.008,0.177
2464,1.61,0.45,0.24,0.002,0.149
2465,0.19,0.52,0.74,0.74,0.062
2466,0.38,0.02,0.76,0.76,0.121
2467,0.34,0.14,0.06,0.004,0.086
2468,0.93,0.2,0.51,0.51,0.105
2469,0.7,0.32,0.65,0.65,0.168
2470,1.55,1.09,0.72,0.72,0.137
2471,1.11,0.36,0.27,0.006,0.189
2472,1.97,0.61,0.52,0.52,0.095
2473,0.42,1.13,0.05,0.004,0.053
2474,1.34,0.26,0.07,0.008,0.113
2475,0.18,0.13,0.79,0.79,0.132
2476,1.28,0.32,0.53,0.53,0.175
2477,1.14,1.14,0.45,0.004,0.045
2478,0.71,0.52,0.39,0.007,0.146
2479,1.99,0.22,0.25,0.008,0.085
2480,1.21,1.21,0.83,0.83,0.105
2481,1.3,0.5,0.1,0.008,0.036
2482,0.95,0.28,0.53,0.53,0.182
2483,0.01,0.43,0.27,0.007,0.033
2484,1.44,0.3,0.18,0.004,0.162
2485,0.52,0.32,0.31,0.002,0.11
2486,1.44,0.58,0.96,0.96,0.191
2487,1.01,0.68,0.11,0.006,0.127
2488,1.64,0.86,0.64,0.64,0.032
2489,0.22,0.01,0.76,0.76,0.052
2490,0.22,1.09,0.57,0.57,0.101
2491,0.76,1.16,0.79,0.79,0.049
2492,1.5,0.69,0.82,0.82,0.053
2493,1.99,1.29,0.86,0.86,0.047
2494,1.57,0.66,0.58,0.58,0.071
2495,1.23,0.86,0.87,0.87,0.019
2496,0.25,1.25,0.7,0.7,0.129
2497,0.87,0.69,0.55,0.55,
2498,1.77,0.62,0.14,0.006,0.137
2499,0.73,0.68,0.45,0.006,0.053
2500,1.1,1.48,0.75,0.75,0.147
2501,0.77,0.76,0.51,0.51,0.086
2502,0.14,1.42,1.0,1.0,0.082
2503,0.62,0.97,0.23,0.006,0.12
2504,0.36,0.73,0.47,0.0,0.003
2505,1.43,1.49,0.58,0.58,0.16
2506,1.65,0.08,0.51,0.51,0.025
2507,0.05,1.21,0.33,0.001,0.015
2508,0.16,0.87,0.67,0.67,0.18
2509,0.13,1.29,0.82,0.82,0.072
2510,1.72,0.89,0.09,0.005,0.184
2511,0.65,0.73,0.53,0.53,0.132
2512,1.67,1.21,,0.65,0.042
2513,1.89,1.18,0.75,0.75,0.092
2514,0.94,0.26,0.28,0.009,0.023
2515,0.85,1.01,0.19,0.008,0.045
2516,0.29,0.5,0.7,0.7,0.136
2517,1.7,0.29,0.78,0.78,0.185
2518,0.72,0.42,0.75,0.75,0.07
2519,1.5,0.25,0.02,0.0,0.083
2520,1.52,0.76,0.57,0.57,0.155
2521,1.51,0.89,0.55,0.55,0.164
2522,0.24,0.66,0.09,0.008,0.17
2523,1.16,1.06,0.82,0.82,0.12
2524,0.87,0.16,0.41,0.003,0.043
2525,0.02,0.04,0.76,0.76,0.198
2526,1.94,1.27,0.08,0.008,0.194
2527,1.57,0.43,0.04,0.003,0.089
2528,1.95,1.38,0.46,0.003,0.191
2529,1.4,0.5,0.28,0.005,0.044
2530,0.55,1.27,0.61,0.61,0.087
2531,1.39,1.12,0.1,0.001,0.108
2532,0.37,1.29,0.62,0.62,0.122
2533,0.35,1.43,0.71,0.71,0.061
2534,1.45,0.52,0.18,0.003,0.088
2535,1.06,0.53,0.96,0.96,0.158
2536,0.5,0.74,0.5,0.5,0.074
2537,0.27,0.93,0.5,0.5,0.07
2538,0.01,0.01,0.5,0.5,0.148
2539,1.24,0.92,0.42,0.006,0.172
2540,1.54,0.32,0.33,0.006,0.041
2541,1.04,1.39,0.07,0.006,0.176
2542,0.33,1.33,0.59,0.59,0.136
2543,0.6,0.07,0.79,0.79,0.164
2544,1.64,0.61,1.0,1.0,0.038
2545,0.81,0.24,0.15,0.005,0.005
2546,1.69,0.98,0.28,0.004,0.181
2547,1.51,0.36,0.78,0.78,0.159
2548,1.99,0.48,0.33,0.001,0.05
2549,1.22,1.06,0.27,0.008,0.103
2550,1.3,0.37,0.98,0.98,0.156
2551,1.38,1.39,0.87,0.87,0.047
2552,0.5,0.85,0.44,0.004,0.034
2553,0.78,0.09,0.83,,0.138
2554,0.17,0.59,0.07,0.008,0.159
2555,1.45,1.4,0.28,0.003,0.102
2556,0.04,1.16,0.51,0.51,0.044
2557,1.8,1.46,0.31,0.004,0.113
2558,1.83,1.03,0.48,0.009,0.137
2559,1.37,0.65,0.09,0.006,0.034
2560,0.52,0.22,0.69,0.69,0.064
2561,1.45,0.28,0.52,0.52,0.197
2562,0.75,0.44,0.68,0.68,0.157
2563,0.07,0.7,0.01,0.0,0.008
2564,1.66,0.79,0.73,0.73,0.059
2565,1.96,0.82,0.11,0.005,0.037
2566,0.57,1.44,0.44,0.003,0.092
2567,0.65,1.5,0.79,0.79,0.118
2568,0.36,1.39,0.8,0.8,0.116
2569,1.07,1.44,0.07,0.005,0.06
2570,0.08,1.19,0.7,0.7,0.157
2571,1.64,0.78,0.61,0.61,0.038
2572,1.39,1.19,0.39,0.001,0.194
2573,0.5,1.34,0.22,0.003,0.095
2574,0.55,,0.21,0.004,0.062
2575,0.66,1.0,0.67,0.67,0.182
2576,0.06,0.74,0.05,0.003,0.075
2577,0.05,1.43,0.92,0.92,0.04
2578,0.79,0.59,0.49,0.007,0.024
2579,1.26,1.33,0.34,0.006,0.164
2580,0.21,1.04,1.0,1.0,0.105
2581,1.94,0.8,0.32,0.004,0.124
2582,0.71,1.43,0.58,0.58,0.144
2583,1.33,1.0,0.18,0.005,0.152
2584,0.89,1.41,0.74,0.74,0.119
2585,0.55,0.19,0.72,0.72,0.089
2586,1.53,1.04,0.08,0.001,0.064
2587,1.04,1.19,0.18,0.001,0.079
2588,1.09,0.4,0.02,0.002,0.125
2589,0.88,1.45,0.58,0.58,0.067
2590,1.32,1.23,0.56,0.56,0.049
2591,0.46,1.43,0.43,0.003,0.08
2592,0.73,0.82,0.7,0.7,0.122
2593,1.44,1.42,0.31,0.007,0.177
2594,1.33,1.37,0.09,0.008,0.042
2595,0.37,0.49,0.14,0.007,0.185
2596,0.98,0.23,0.93,0.93,0.164
2597,0.71,1.26,0.75,0.75,0.102
2598,1.38,1.26,0.48,0.007,0.152
2599,1.11,1.19,0.72,0.72,0.1
2600,0.53,0.95,0.19,0.004,0.011
2601,1.18,0.88,0.28,0.001,0.032
2602,1.96,1.32,0.85,0.85,0.192
2603,1.36,0.66,0.76,0.76,0.11
2604,1.89,0.7,0.77,0.77,0.172
2605,1.89,0.17,0.66,0.66,0.124
2606,1.86,0.45,0.36,0.003,0.185
2607,0.72,0.87,0.17,0.001,0.033
2608,0.13,0.82,0.48,0.008,0.088
2609,0.03,1.27,0.82,0.82,0.041
2610,1.53,1.25,0.6,0.6,0.164
2611,0.25,1.16,0.98,0.98,0.191
2612,1.09,0.97,,0.003,0.051
2613,1.74,0.36,0.21,0.007,0.187
2614,1.94,0.78,0.89,0.89,0.101
2615,1.96,0.84,0.37,0.006,0.007
2616,1.41,0.37,0.79,0.79,0.085
2617,1.32,1.3,0.73,0.73,0.086
2618,1.6,0.15,0.91,0.91,0.01
2619,1.24,0.14,0.51,0.51,0.032
2620,1.17,0.9,0.51,0.51,0.13
2621,1.44,0.17,0.99,0.99,0.096
2622,0.33,0.82,0.29,,0.093
2623,1.66,0.64,0.1,0.002,0.124
2624,1.89,0.65,0.39,0.008,0.011
2625,0.59,0.54,0.31,0.001,0.124
2626,0.7,0.8,0.97,0.97,0.1
2627,1.75,0.76,0.26,0.003,0.092
2628,0.11,0.21,0.61,0.61,0.059
2629,1.72,0.81,0.87,0.87,0.15
2630,0.06,0.04,0.08,0.005,0.078
2631,1.37,0.62,0.92,0.92,0.112
2632,0.34,0.12,0.74,0.74,0.135
2633,0.77,0.68,0.05,0.008,0.092
2634,0.57,1.33,1.0,1.0,0.065
2635,1.46,0.94,0.26,0.002,0.135
2636,1.84,1.48,0.13,0.005,0.135
2637,0.68,0.79,0.23,0.002,0.014
2638,0.78,0.33,0.5,0.5,0.18
2639,1.39,1.3,0.49,0.008,0.08
2640,1.89,1.05,0.83,0.83,0.184
2641,0.06,0.14,0.66,0.66,0.144
2642,1.72,1.06,0.63,0.63,0.171
2643,1.99,1.44,0.15,0.003,0.1
2644,0.32,0.66,0.3,0.006,0.123
2645,0.8,1.28,0.93,0.93,0.184
2646,1.22,1.49,0.99,0.99,0.03
2647,1.17,1.09,0.46,0.008,0.089
2648,1.74,0.97,0.24,0.004,0.199
2649,1.59,0.13,0.17,0.0,0.076
2650,0.6,0.03,0.1,0.001,0.137
2651,0.38,1.11,0.93,0.93,0.097
2652,1.76,0.63,0.91,0.91,0.139
2653,0.29,1.43,0.75,0.75,0.166
2654,0.7,0.52,0.59,0.59,0.152
2655,1.69,0.96,0.25,0.001,0.021
2656,0.67,0.63,0.48,0.003,0.007
2657,0.36,0.45,0.79,0.79,0.198
2658,1.68,0.48,0.62,0.62,0.147
2659,1.32,0.87,0.61,0.61,0.174
2660,1.04,0.58,0.5,0.5,0.106
2661,0.07,0.13,0.44,0.008,0.019
2662,0.85,1.16,0.36,0.005,0.067
2663,1.67,1.19,0.86,0.86,0.132
2664,0.72,0.57,0.37,0.007,0.153
2665,0.28,0.28,0.19,0.0,0.137
2666,1.71,1.4,0.95,0.95,0.025
2667,0.7,1.43,0.35,0.004,0.188
2668,0.56,1.29,0.64,0.64,0.18
2669,1.07,1.35,0.39,0.003,0.113
2670,0.66,0.88,0.68,0.68,0.113
2671,1.17,1.31,0.57,0.57,0.109
2672,0.29,0.67,0.65,0.65,0.155
2673,1.49,0.75,0.66,0.66,0.099
2674,0.29,1.28,0.96,0.96,0.04
2675,1.25,0.29,0.78,0.78,0.112
2676,1.34,0.36,0.84,0.84,0.07
2677,0.85,0.82,0.9,0.9,0.154
2678,1.21,1.09,0.77,0.77,0.158
2679,0.76,0.24,0.28,0.007,0.027
2680,1.34,1.43,0.37,,0.152
2681,,1.47,0.58,0.58,0.154
2682,1.72,1.07,0.96,0.96,0.119
2683,1.86,0.42,0.15,0.003,0.115
2684,1.35,1.06,0.22,0.007,0.069
2685,1.58,0.15,0.72,0.72,0.013
2686,1.09,1.35,0.38,0.006,0.13
2687,0.4,1.16,0.87,0.87,0.126
2688,1.18,0.07,0.77,0.77,0.042
2689,0.31,1.29,0.56,0.56,0.026
2690,0.84,0.55,0.78,0.78,0.118
2691,0.33,0.22,0.31,0.008,0.163
2692,1.44,0.63,0.23,0.004,0.162
2693,0.66,0.59,0.65,0.65,0.194
2694,0.14,0.77,0.24,0.003,0.062
2695,1.15,0.53,0.66,0.66,0.088
2696,1.96,0.5,0.5,0.5,0.196
2697,0.34,1.4,0.56,0.56,0.013
2698,0.15,1.19,0.61,0.61,0.164
2699,1.6,0.83,0.68,0.68,0.153
2700,0.22,0.79,0.59,0.59,0.119
2701,1.41,0.92,0.93,0.93,0.075
2702,0.7,0.57,0.3,0.005,0.065
2703,1.79,0.59,,0.008,0.03
2704,0.37,0.36,0.41,0.002,0.06
2705,0.51,0.07,0.12,0.006,0.075
2706,1.22,0.46,0.37,0.004,0.105
2707,1.59,1.01,0.3,0.008,0.052
2708,0.79,0.32,0.64,0.64,0.044
2709,0.36,1.31,0.64,0.64,0.154
2710,0.67,0.73,0.92,0.92,0.057
2711,0.92,1.09,0.75,0.75,0.085
2712,0.76,0.62,0.65,0.65,0.044
2713,0.13,0.06,0.58,0.58,0.035
2714,0.62,0.44,0.31,0.002,0.136
2715,1.33,1.07,0.35,0.004,0.099
2716,0.86,1.3,0.89,0.89,0.02
2717,0.66,0.4,0.25,0.003,0.144
2718,1.89,0.95,0.36,0.003,0.178
2719,1.02,1.34,0.62,0.62,0.062
2720,1.47,0.21,0.33,0.005,0.106
2721,1.97,0.85,0.56,0.56,0.096
2722,0.85,0.24,0.49,0.001,0.021
2723,0.53,0.05,0.32,0.002,0.018
2724,0.81,1.25,0.15,0.002,0.156
2725,0.79,0.34,0.21,0.001,0.08
2726,1.84,0.75,0.92,0.92,0.142
2727,1.09,0.37,0.53,0.53,0.075
2728,1.81,0.38,0.09,0.006,0.083
2729,0.27,1.45,0.84,0.84,0.14
2730,0.69,0.45,0.03,0.005,0.049
2731,0.41,1.22,0.29,0.006,0.101
2732,1.02,0.03,0.73,0.73,0.138
2733,1.15,0.77,0.77,0.77,0.019
2734,1.63,1.35,0.69,0.69,0.02
2735,1.16,0.4,0.25,0.002,0.09
2736,0.18,0.74,0.19,0.005,0.112
2737,1.0,1.38,0.68,0.68,0.198
2738,0.4,0.88,0.59,0.59,0.118
2739,1.43,0.68,0.42,0.005,0.108
2740,0.1,0.86,0.4,0.003,0.007
2741,0.66,0.03,0.62,0.62,0.024
2742,0.06,0.36,0.28,0.004,0.02
2743,0.41,0.72,0.25,0.007,0.02
2744,0.25,0.11,0.71,0.71,0.09
2745,0.43,0.9,0.79,0.79,0.199
2746,0.09,1.47,0.14,0.0,0.065
2747,0.39,0.1,0.15,0.002,0.033
2748,0.75,1.29,0.18,0.001,0.134
2749,,0.79,0.7,0.7,0.122
2750,0.28,1.11,0.2,0.008,0.052
2751,1.63,0.75,0.95,0.95,0.162
2752,1.02,1.24,0.44,0.001,0.197
2753,1.29,1.01,0.03,0.006,0.013
2754,0.87,1.39,0.35,0.001,0.02
2755,0.86,1.29,0.39,0.005,0.016
2756,0.66,0.04,0.32,0.002,0.028
2757,1.13,0.24,0.59,0.59,0.051
2758,0.1,0.72,0.39,0.008,0.011
2759,0.39,0.76,0.15,0.004,0.082
2760,1.38,0.63,0.97,0.97,0.017
2761,1.65,0.5,0.09,0.006,0.18
2762,0.74,0.84,0.22,0.004,0.043
2763,1.05,1.26,0.03,0.003,0.079
2764,0.04,0.55,0.58,0.58,0.127
2765,1.97,1.36,0.37,0.001,0.06
2766,1.15,0.25,0.04,0.003,0.135
2767,0.54,0.79,0.89,0.89,0.07
2768,1.9,1.18,0.46,0.007,0.112
2769,1.32,0.65,0.95,0.95,0.148
2770,1.78,0.01,0.75,0.75,0.153
2771,1.91,0.96,0.14,0.002,0.132
2772,,0.66,0.7,0.7,0.126
2773,0.24,0.83,0.8,0.8,
2774,1.93,0.78,0.55,0.55,0.17
2775,1.99,0.08,0.1,0.008,0.172
2776,0.85,0.14,0.41,0.006,0.183
2777,1.06,1.08,0.15,0.001,0.189
2778,0.26,0.82,0.74,0.74,0.197
2779,0.98,0.33,0.49,0.007,0.062
2780,0.05,0.4,0.74,0.74,0.012
2781,1.41,1.08,0.38,0.002,0.15
2782,1.42,1.29,0.28,0.002,0.01
2783,1.71,1.35,0.85,0.85,0.1
2784,0.13,1.42,0.48,0.006,0.182
2785,0.99,0.31,0.01,0.007,0.19
2786,1.71,0.03,0.6,0.6,0.193
2787,1.23,1.48,0.57,0.57,0.106
2788,0.86,0.11,0.85,0.85,0.101
2789,0.65,0.2,0.45,0.005,0.013
2790,1.86,1.05,0.58,0.58,0.006
2791,0.63,1.03,0.18,0.004,0.031
2792,0.49,1.38,0.31,0.009,0.115
2793,0.31,0.74,0.55,0.55,0.093
2794,0.72,0.09,0.11,0.003,0.166
2795,0.13,1.04,0.26,0.001,0.157
2796,1.48,0.95,0.91,0.91,0.073
2797,0.47,1.02,0.4,0.0,0.02
2798,0.04,1.3,0.03,0.007,0.11
2799,1.66,1.08,0.32,0.001,0.017
2800,0.68,1.2,0.26,0.006,0.155
2801,1.95,0.99,0.05,0.009,0.156
2802,1.63,0.67,0.4,0.008,0.143
2803,1.33,1.08,0.44,0.005,0.093
2804,0.53,0.93,0.36,0.003,0.102
2805,0.62,0.88,0.25,0.002,0.167
2806,1.6,0.16,0.02,0.003,0.178
2807,0.13,0.3,0.2,0.003,0.05
2808,1.94,0.63,0.75,0.75,0.109
2809,0.51,1.49,0.24,0.003,0.02
2810,0.18,0.16,0.51,0.51,0.173
2811,0.14,0.75,0.51,0.51,0.093
2812,0.89,0.61,0.01,0.001,0.117
2813,0.08,1.44,0.34,0.004,0.172
2814,1.78,1.27,0.15,0.002,0.163
2815,1.32,0.76,0.23,0.004,0.128
2816,1.0,0.14,0.36,0.005,0.1
2817,0.87,1.14,0.79,0.79,0.102
2818,1.54,0.64,0.26,0.006,0.2
2819,1.92,1.36,0.94,0.94,0.128
2820,0.07,0.53,0.02,0.001,0.028
2821,0.98,0.27,0.2,0.005,0.012
2822,0.91,0.65,0.51,0.51,0.023
2823,0.39,0.33,0.83,0.83,0.079
2824,1.65,0.8,0.54,0.54,0.163
2825,0.77,0.81,0.2,0.007,0.148
2826,0.48,1.36,0.73,0.73,0.164
2827,1.04,0.63,0.09,0.007,0.179
2828,1.37,1.46,0.59,0.59,0.141
2829,0.27,0.61,0.65,0.65,0.137
2830,1.05,0.96,0.32,0.008,0.049
2831,0.05,0.03,0.24,0.002,0.011
2832,1.5,0.68,0.8,0.8,0.193
2833,0.78,1.5,0.36,0.0,0.004
2834,0.58,1.07,0.52,0.52,0.103
2835,0.56,0.8,0.29,0.001,0.186
2836,0.36,0.55,0.03,0.005,0.19
2837,0.77,0.79,0.37,0.001,0.147
2838,1.45,0.65,0.57,0.57,0.19
2839,0.17,0.59,0.4,0.008,0.153
2840,0.02,0.47,0.28,0.005,0.141
2841,1.25,0.51,0.69,0.69,0.111
2842,1.83,0.77,0.67,0.67,0.089
2843,,0.99,0.41,0.0,0.099
2844,1.48,0.91,0.74,0.74,0.074
2845,0.06,1.03,0.44,0.007,0.142
2846,1.64,1.39,0.3,,0.156
2847,0.75,1.25,0.28,0.002,0.083
2848,0.81,1.27,0.53,0.53,0.057
2849,1.67,0.02,0.1,0.007,0.028
2850,0.44,0.67,0.59,0.59,0.042
2851,0.48,1.48,0.06,0.001,0.117
2852,1.76,0.33,0.17,0.0,0.126
2853,1.73,0.06,0.42,0.003,0.064
2854,0.98,0.79,0.72,0.72,0.115
2855,0.04,0.61,0.21,0.001,0.089
2856,1.38,0.13,0.36,0.002,0.117
2857,0.16,1.01,0.76,0.76,0.168
2858,1.49,1.45,0.42,0.009,0.159
2859,0.96,1.45,0.44,0.007,0.039
2860,0.99,0.87,0.39,0.002,0.17
2861,1.19,0.26,0.72,0.72,0.034
2862,0.28,1.16,0.85,0.85,0.005
2863,0.75,0.34,0.98,0.98,0.104
2864,0.93,1.44,0.53,0.53,0.199
2865,0.77,1.23,0.79,0.79,0.112
2866,0.31,1.1,0.06,0.005,0.072
2867,1.95,1.29,0.05,0.002,0.088
2868,0.8,0.63,0.48,0.007,0.112
2869,1.88,1.34,0.28,0.003,0.116
2870,0.42,1.2,0.36,,0.056
2871,0.96,1.41,0.99,0.99,0.13
2872,0.91,1.26,0.74,0.74,0.16
2873,0.79,0.37,0.35,0.004,0.118
2874,0.01,1.1,0.89,0.89,0.142
2875,0.84,0.04,0.13,0.002,0.123
2876,1.3,0.95,1.0,1.0,0.133
2877,0.25,,0.72,0.72,0.158
2878,1.26,0.13,0.93,0.93,0.165
2879,1.56,1.15,0.07,0.001,0.044
2880,0.19,0.29,0.29,0.0,0.099
2881,0.4,0.71,0.2,0.008,0.022
2882,1.37,1.39,0.27,0.002,0.108
2883,0.3,0.14,0.57,0.57,0.044
2884,1.29,0.13,0.43,0.008,0.169
2885,0.89,0.7,0.07,0.008,0.122
2886,1.16,1.32,0.1,0.005,0.188
2887,1.08,1.18,0.55,0.55,0.105
2888,0.15,0.19,0.76,0.76,0.036
2889,1.23,0.84,0.33,0.005,0.063
2890,1.69,1.32,0.99,0.99,0.063
2891,0.36,0.64,0.69,0.69,0.005
2892,0.09,0.71,0.84,0.84,0.115
2893,0.3,1.24,0.51,0.51,0.098
2894,0.05,0.1,0.42,0.0,0.165
2895,,0.21,0.67,0.67,0.092
2896,1.44,0.58,0.21,0.006,0.066
2897,0.16,0.23,0.44,0.007,0.093
2898,1.13,1.43,0.63,0.63,0.152
2899,1.82,0.44,0.14,0.001,0.022
2900,0.75,0.09,0.84,0.84,0.183
2901,1.33,0.18,0.81,0.81,0.041
2902,0.87,0.29,0.58,0.58,0.195
2903,0.36,0.37,0.45,0.001,0.033
2904,1.95,0.56,0.94,0.94,0.006
2905,0.01,1.28,0.77,0.77,0.144
2906,0.75,1.26,0.87,0.87,0.097
2907,0.36,1.14,0.22,0.002,0.065
2908,1.99,0.81,0.19,0.001,0.098
2909,0.11,1.46,0.75,0.75,0.005
2910,1.05,0.31,0.26,0.002,0.17
2911,0.8,0.36,0.64,0.64,0.087
2912,1.32,0.83,0.6,0.6,0.072
2913,0.68,1.36,0.74,0.74,0.126
2914,0.82,0.1,0.79,0.79,0.044
2915,1.32,0.59,0.18,0.008,0.122
2916,0.04,0.6,0.39,0.009,0.016
2917,1.43,0.19,0.92,0.92,0.097
2918,0.75,0.2,0.69,0.69,0.104
2919,1.33,0.58,0.22,0.002,0.168
2920,1.43,1.34,0.76,0.76,0.069
2921,1.77,0.06,0.75,0.75,0.098
2922,1.93,0.45,0.63,0.63,0.124
2923,0.85,1.21,0.4,0.002,0.103
2924,0.2,0.64,0.18,0.007,0.132
2925,1.95,1.16,0.94,0.94,0.047
2926,0.1,1.08,0.99,0.99,0.002
2927,1.72,0.49,0.6,0.6,0.093
2928,0.4,1.09,0.65,0.65,0.14
2929,1.74,0.66,0.07,0.008,0.091
2930,1.29,0.83,0.16,0.001,0.152
2931,1.08,0.7,0.87,0.87,0.106
2932,0.2,1.15,,0.61,0.133
2933,0.92,1.2,0.2,0.002,0.01
2934,1.05,0.68,0.39,0.001,0.159
2935,0.26,0.16,0.91,0.91,0.176
2936,0.93,0.85,0.1,0.001,0.167
2937,0.86,1.34,0.97,0.97,0.086
2938,0.61,0.35,0.86,0.86,0.132
2939,0.4,0.79,0.63,,0.122
2940,1.5,0.23,0.18,0.007,0.166
2941,0.4,0.59,0.61,0.61,0.04
2942,0.18,0.91,0.78,0.78,0.174
2943,1.75,0.19,0.9,0.9,0.045
2944,1.98,0.28,0.89,0.89,0.11
2945,1.8,1.39,0.31,0.005,0.175
2946,1.83,0.61,0.55,0.55,0.188
2947,1.05,0.05,0.49,0.005,0.1
2948,0.12,0.48,0.93,0.93,0.142
2949,0.49,1.15,0.7,0.7,0.081
2950,1.77,0.94,0.22,0.006,0.126
2951,0.46,0.33,0.92,0.92,0.025
2952,0.49,1.39,0.75,0.75,0.064
2953,0.58,0.34,0.53,0.53,0.183
2954,1.94,1.31,0.69,0.69,0.194
2955,1.76,0.74,0.32,0.002,0.048
2956,0.77,0.46,0.19,0.001,0.059
2957,1.14,0.83,0.36,0.004,0.065
2958,1.08,0.52,0.74,0.74,0.067
2959,1.33,0.58,0.26,0.009,0.022
2960,1.57,1.25,0.06,0.007,0.194
2961,0.18,0.37,0.03,0.008,0.081
2962,1.34,0.5,0.86,0.86,0.087
2963,1.14,0.58,0.84,0.84,0.054
2964,1.04,0.09,0.83,0.83,0.151
2965,1.94,1.49,0.15,0.001,0.114
2966,1.22,0.33,0.23,0.001,0.151
2967,0.42,0.71,0.85,0.85,0.079
2968,1.82,0.56,0.95,0.95,0.154
2969,1.29,0.85,0.65,0.65,0.121
2970,1.11,0.61,0.73,,0.178
2971,1.92,0.29,0.02,0.007,0.192
2972,1.1,0.22,0.21,0.005,0.192
2973,1.93,0.23,0.42,0.006,0.195
2974,0.95,1.46,0.08,0.008,0.181
2975,0.76,1.05,0.4,0.007,0.185
2976,1.71,0.8,0.13,0.009,0.176
2977,1.68,0.76,0.78,,0.163
2978,1.86,0.26,0.55,0.55,0.013
2979,1.26,0.59,0.75,0.75,0.011
2980,1.03,0.27,0.19,0.003,0.163
2981,1.33,0.35,0.89,0.89,0.165
2982,1.83,1.3,0.12,0.003,0.129
2983,1.44,0.79,0.15,0.008,0.198
2984,1.45,0.89,0.21,0.002,0.177
2985,1.8,1.46,0.88,0.88,0.088
2986,2.0,1.0,0.79,0.79,0.169
2987,1.67,0.47,0.54,0.54,0.141
2988,1.87,1.14,0.41,0.001,0.033
2989,1.23,0.35,0.89,0.89,0.12
2990,0.83,0.48,0.43,0.003,0.124
2991,0.79,1.43,0.51,0.51,0.094
2992,0.7,0.74,0.95,0.95,0.124
2993,1.03,1.15,0.5,0.5,0.099
2994,0.67,0.04,0.22,0.009,0.107
2995,1.24,0.79,0.7,0.7,0.113
2996,1.56,1.07,0.19,0.0,0.103
2997,1.08,1.14,0.91,0.91,0.135
2998,0.79,0.15,0.62,0.62,0.106
2999,1.2,1.31,0.91,0.91,0.027
3000,1.64,0.29,0.31,0.005,0.177
3001,1.39,0.7,0.94,0.94,0.116
3002,0.97,0.06,0.12,0.008,0.189
3003,0.4,0.79,0.43,0.005,0.033
3004,0.59,0.05,0.2,0.001,0.168
3005,1.87,1.16,0.43,0.009,0.121
3006,1.98,0.09,1.0,1.0,0.1
3007,0.27,0.41,0.67,0.67,0.067
3008,0.67,1.26,0.38,0.007,0.105
3009,0.62,1.1,0.12,0.001,0.036
3010,0.15,1.1,0.5,,0.194
3011,1.55,0.14,0.89,0.89,0.041
3012,0.01,0.56,0.43,0.002,0.185
3013,0.75,0.96,0.64,0.64,0.1
3014,1.0,0.36,0.3,0.005,0.092
3015,1.63,0.57,0.68,0.68,0.151
3016,1.74,0.52,0.2,0.003,0.105
3017,0.72,1.45,0.19,0.006,0.11
3018,0.73,1.43,0.84,0.84,0.081
3019,0.74,0.54,0.45,0.0,0.181
3020,0.72,1.32,0.99,0.99,0.087
3021,0.43,0.69,0.01,0.004,0.15
3022,1.28,0.99,0.42,0.002,0.165
3023,1.38,0.84,0.15,0.001,0.165
3024,1.57,0.13,0.59,0.59,0.086
3025,1.54,1.14,0.68,0.68,0.136
3026,1.76,0.4,0.27,0.0,0.152
3027,0.45,1.31,0.42,0.005,0.103
3028,0.02,0.31,0.47,0.004,0.17
3029,1.74,1.49,0.13,0.007,0.102
3030,1.49,0.58,0.8,0.8,0.121
3031,0.99,1.12,0.02,0.006,0.004
3032,0.13,0.8,0.69,0.69,0.104
3033,0.82,1.16,0.29,0.005,0.198
3034,0.55,0.96,0.11,0.001,0.131
3035,1.28,0.87,0.9,0.9,0.024
3036,1.89,0.9,0.98,0.98,0.002
3037,1.76,0.83,0.21,0.002,0.03
3038,0.65,0.96,0.84,0.84,0.188
3039,0.03,0.93,0.62,0.62,0.05
3040,1.26,0.34,0.94,0.94,0.093
3041,0.05,1.37,0.94,0.94,0.151
3042,1.58,1.21,0.73,0.73,0.104
3043,0.98,0.77,0.52,0.52,0.185
3044,1.49,0.65,1.0,1.0,0.092
3045,1.05,0.8,0.1,0.003,0.197
3046,1.4,0.54,0.01,0.0,0.041
3047,1.03,0.57,0.71,0.71,0.005
3048,1.9,0.44,0.84,0.84,0.028
3049,0.99,0.8,0.37,0.002,0.148
3050,0.28,0.82,0.54,0.54,0.197
3051,0.91,0.16,0.89,0.89,0.052
3052,1.69,1.35,0.63,0.63,0.106
3053,1.61,1.39,0.09,0.005,0.043
3054,0.46,0.74,0.48,0.001,0.072
3055,0.51,0.92,0.14,0.006,0.072
3056,0.66,0.04,0.82,0.82,0.097
3057,0.83,1.09,0.14,0.005,0.151
3058,1.3,1.06,0.55,0.55,0.1
3059,0.29,0.66,0.54,0.54,0.048
3060,1.57,1.17,0.62,0.62,0.09
