Id,math score,reading score,writing score
2061898,63.0,78.0,
2061899,67.0,54.0,63.0
2061900,65.0,78.0,82.0
2061901,85.0,84.0,89.0
2061902,73.0,78.0,74.0
2061903,34.0,48.0,41.0
2061904,93.0,100.0,100.0
2061905,67.0,84.0,84.0
2061906,88.0,77.0,77.0
2061907,57.0,48.0,
2061908,79.0,84.0,91.0
2061909,67.0,75.0,72.0
2061910,70.0,64.0,70.0
2061911,50.0,42.0,48.0
2061912,69.0,84.0,82.0
2061913,52.0,61.0,66.0
2061914,47.0,62.0,66.0
2061915,46.0,61.0,55.0
2061916,68.0,70.0,66.0
2061917,100.0,100.0,100.0
2061918,44.0,61.0,52.0
2061919,57.0,77.0,80.0
2061920,91.0,96.0,91.0
2061921,69.0,70.0,
2061922,35.0,53.0,46.0
2061923,72.0,66.0,
2061924,54.0,65.0,65.0
2061925,,70.0,69.0
2061926,74.0,64.0,60.0
2061927,64.0,,52.0
2061928,65.0,61.0,71.0
2061929,46.0,43.0,44.0
2061930,48.0,56.0,51.0
2061931,67.0,74.0,
2061932,62.0,57.0,62.0
2061933,61.0,71.0,73.0
2061934,70.0,75.0,74.0
2061935,98.0,87.0,
2061936,70.0,63.0,58.0
2061937,67.0,57.0,53.0
2061938,57.0,58.0,57.0
2061939,85.0,81.0,
2061940,77.0,68.0,69.0
2061941,72.0,66.0,72.0
2061942,78.0,91.0,96.0
2061943,81.0,66.0,64.0
2061944,61.0,,61.0
2061945,58.0,68.0,61.0
2061946,54.0,61.0,58.0
2061947,,82.0,80.0
2061948,49.0,58.0,60.0
2061949,49.0,50.0,52.0
2061950,57.0,75.0,73.0
2061951,94.0,,71.0
2061952,75.0,77.0,83.0
2061953,74.0,74.0,72.0
2061954,58.0,52.0,54.0
2061955,62.0,69.0,69.0
2061956,72.0,57.0,62.0
2061957,84.0,87.0,81.0
2061958,92.0,100.0,100.0
2061959,45.0,63.0,59.0
2061960,75.0,81.0,71.0
2061961,56.0,58.0,64.0
2061962,48.0,54.0,53.0
2061963,100.0,100.0,100.0
2061964,,,75.0
2061965,72.0,57.0,58.0
2061966,62.0,70.0,72.0
2061967,66.0,68.0,64.0
2061968,63.0,63.0,60.0
2061969,68.0,76.0,67.0
2061970,75.0,84.0,80.0
2061971,89.0,100.0,100.0
2061972,78.0,72.0,69.0
2061973,53.0,50.0,60.0
2061974,49.0,65.0,61.0
2061975,54.0,63.0,67.0
2061976,,82.0,77.0
2061977,60.0,,60.0
2061978,62.0,65.0,
2061979,55.0,41.0,48.0
2061980,91.0,95.0,94.0
2061981,8.0,24.0,23.0
2061982,81.0,78.0,78.0
2061983,79.0,85.0,86.0
2061984,78.0,87.0,91.0
2061985,74.0,75.0,82.0
2061986,57.0,51.0,54.0
2061987,40.0,59.0,51.0
2061988,81.0,75.0,76.0
2061989,44.0,45.0,45.0
2061990,67.0,86.0,83.0
2061991,86.0,81.0,75.0
2061992,65.0,82.0,78.0
2061993,55.0,76.0,76.0
2061994,62.0,72.0,74.0
2061995,63.0,63.0,62.0
2061996,88.0,99.0,95.0
2061997,62.0,,
2061998,59.0,71.0,65.0
2061999,68.0,78.0,77.0
2062000,77.0,86.0,86.0
